input_text,target_text,input_emotion,target_emotion
"neutral to neutral: The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates .,neutral,neutral
"neutral to neutral: Based on experience elsewhere , it could take up to two years before regular elections are held , he added .","U.S. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .",neutral,neutral
"neutral to neutral: FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .,neutral,neutral
neutral to neutral: Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday .,Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end .,neutral,neutral
"neutral to neutral: The Dow Jones Industrial Average ended down 128 points , or 1.4 % , at 9073 , while the Nasdaq fell 34 points , or 2.1 % , to 1610 .","In early trading , the Dow Jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on Tuesday .",neutral,neutral
neutral to neutral: PDC will also almost certainly fan the flames of speculation about Longhorn 's release .,PDC will also almost certainly reignite speculation about release dates of Microsoft 's new products .,neutral,neutral
neutral to neutral: Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .,neutral,neutral
"neutral to neutral: Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .",neutral,neutral
"neutral to neutral: The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .","The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646 .",neutral,neutral
neutral to neutral: And they think the protein probably is involved in the spread of other forms of cancer .,They researchers say the research could be relevant to other forms of cancer .,neutral,neutral
"neutral to neutral: A day earlier , a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .","A day earlier , a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist 's death .",neutral,neutral
"neutral to neutral: Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .","The Skagit was expected to crest during the night at 38 feet at Mount Vernon , 10 feet above flood stage , the National Weather Service said .",neutral,neutral
"neutral to neutral: The Nasdaq composite index inched up 1.28 , or 0.1 percent , to 1,766.60 , following a weekly win of 3.7 percent .","The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points , or 1.39 percent , at 1,739.87 .",neutral,neutral
"neutral to neutral: The United Nations ' International Atomic Energy Agency asked for information on the allegation after the dossier was published , but Britain did not provide any , U.N. officials said .","The International Atomic Energy Agency asked for information on the uranium assertions after London 's dossier was published , but Britain did not provide any , U.N. officials said .",neutral,neutral
"neutral to neutral: Sixteen days later , as superheated air from the shuttle 's reentry rushed into the damaged wing , "" there was no possibility for crew survival , "" the board said .","Sixteen days later , as superheated air from the shuttle ’ s re-entry rushed into the damaged wing , ‘ ‘ there was no possibility for crew survival , ’ ’ the board said .",neutral,neutral
"neutral to neutral: Powell fired back : "" He 's accusing the president of a ludicrous act , "" he said .","If so , Powell said , he 's calling the president ludicrous , too .",neutral,neutral
"neutral to neutral: The memo on protecting sales of Windows and other desktop software mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .","The memo specifically mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .",neutral,neutral
"neutral to neutral: The resulting lists led toa CBS special , AFI 's 100 Years . . . 100 Heroes & Villains , hosted by Arnold Schwarzenegger .","A prime-time special on the list , "" AFI 's 100 Years . . . 100 Heroes & Villains "" aired Tuesday on CBS .",neutral,neutral
"neutral to neutral: "" We had nothing to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",""" Microsoft had absolutely nothing to do with AtStake 's internal personnel decision , "" Sundwall said .",neutral,neutral
"neutral to neutral: On Friday , the Food and Drug Administration approved the use of silicone breast implants with conditions .",The drug was approved for use Friday by the Food and Drug Administration .,neutral,neutral
"neutral to neutral: More than half of the songs were purchased as albums , Apple said .",Apple noted that half the songs were purchased as part of albums .,neutral,neutral
"neutral to neutral: Tyco later said the loan had not been forgiven , and Swartz repaid it in full , with interest , according to his lawyer , Charles Stillman .","Tyco has said the loan was not forgiven , but that Swartz fully repaid it with interest , according to his lawyer , Charles Stillman .",neutral,neutral
"neutral to neutral: While a month 's supply of aspirin can cost less than $ 10 , the equivalent amount of ticlopidine can run significantly more than $ 100 .","While a month 's supply of aspirin can cost under $ 10 , the equivalent amount of ticlopidine can run well over $ 100 .",neutral,neutral
love to love: Arison said Mann may have been one of the pioneers of the world music movement and he had a deep love of Brazilian music .,Arison said Mann was a pioneer of the world music movement -- well before the term was coined -- and he had a deep love of Brazilian music .,love,love
"neutral to neutral: In two new schemes , people posing as IRS representatives target families of armed forces members and e-mail users .",Two new schemes target families of those serving in the military and e-mail users .,neutral,neutral
"neutral to neutral: Wim Wenders directed a widely praised film of the same name , based on the sessions .",A widely praised film of the same name was directed by Wim Wenders .,neutral,neutral
neutral to neutral: Both have aired videotapes of ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq .,"Both have aired videotapes apparently from deposed Iraqi President Saddam Hussein , encouraging Iraqis to fight the U.S. occupation .",neutral,neutral
"neutral to neutral: "" It 's probably not the easiest time to take over the shuttle program , "" he added , "" but I look forward to the challenge .",""" It is probably not the easiest time to come in and take over the shuttle program , but then again , I look forward to the challenge , "" he said .",neutral,neutral
"neutral to neutral: As a result , Nelson now faces up to 10 years ' jail instead of life .",The verdict means Nelson faces up to 10 years in prison rather than a possible life sentence .,neutral,neutral
"neutral to neutral: With all precincts reporting , Fletcher — a three-term congressman from Lexington — had an overwhelming 57 percent of the vote .","With all precincts reporting , Fletcher had 88,747 votes , or 57 percent of the total .",neutral,neutral
"neutral to neutral: She claimed all the babies were born full-term and died within hours , he said .",""" What she told our investigators was that all the babies were born full-term and then died within hours , "" Hughes said .",neutral,neutral
neutral to neutral: Total sales for the period declined 8.0 percent to $ 1.99 billion from a year earlier .,Wal-Mart said sales at stores open at least a year rose 4.6 percent from a year earlier .,neutral,neutral
"neutral to neutral: Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , did not answer his phone Wednesday afternoon .","Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , was not available for comment .",neutral,neutral
"neutral to neutral: "" The bolt catcher is not as robust as it is supposed to be , "" the board 's chairman , retired Adm. Hal Gehman , said .",""" The bolt catcher is not as robust "" as it should be , said retired Navy Admiral Harold W. Gehman Jr . , the board chairman .",neutral,neutral
"neutral to neutral: The report was found Oct. 23 , tucked inside an old three-ring binder not related to the investigation .",The report was found last week tucked inside a training manual that belonged to Hicks .,neutral,neutral
"neutral to neutral: Muslim immigrants have used the networks - which rely on wire transfers , couriers and overnight mail - to send cash to their families overseas .","Muslim immigrants have used the networks _ which rely on wire transfers , couriers and overnight mail _ to send stashes of cash overseas to their families .",neutral,neutral
"sadness to sadness: "" We condemn the Governing Council headed by the United States , "" Muqtada al Sadr said in a sermon at a mosque .",""" We condemn and denounce the Governing Council , which is headed by the United States , "" Moqtada al-Sadr said .",sadness,sadness
neutral to neutral: At the time federal investigators were looking into how CFSB allocated shares of initial public stock offerings .,A federal grand jury and the Securities and Exchange Commission were looking into how the company allocated shares of initial public stock offerings .,neutral,neutral
neutral to neutral: Qanbar said the council members would possibly elect a chairman later Sunday .,US authorities have said the council would include 20 to 25 members .,neutral,neutral
"neutral to neutral: By 2007 , antivirus solutions will carry a worldwide price tag of $ 4.4 billion--double that of five years earlier .","By 2007 , antivirus solutions will carry a worldwide price tag double that of 2002 : $ 4.4 billion .",neutral,neutral
"neutral to neutral: Handspring shareholders will get 0.09 shares of the parent company , Palm , Inc . , for each share of Handspring common stock they currently own .",Handspring 's shareholders will receive 0.09 Palm shares ( and no shares of PalmSource ) for each share of Handspring common stock they own .,neutral,neutral
neutral to neutral: Shares of Microsoft rose 50 cents Friday to close at $ 28.34 a share on the Nasdaq Stock Market .,"Microsoft 's stock was up 50 cents , to $ 28.34 a share in New York yesterday .",neutral,neutral
"neutral to neutral: Tibco has used the Rendezvous name since 1994 for several of its technology products , according to the Palo Alto , California company .","Tibco has used the Rendezvous name since 1994 for several of its technology products , it said .",neutral,neutral
"neutral to neutral: A few thousand troops , most from the division 's 3rd Brigade Combat Team based at Fort Benning in Columbus , began returning last week , with flights continuing through Friday .","Several thousand 3rd Infantry troops , including the 3rd Brigade Combat Team based at Fort Benning in Columbus , Ga . , began returning last week .",neutral,neutral
"neutral to neutral: In a televised interview on Wednesday , ECB President Wim Duisenberg said it was too soon to discuss further interest rate cuts in the 12-nation euro zone .",European Central Bank President Wim Duisenberg said in a televised interview that it was too soon to discuss further interest rate cuts in the euro zone .,neutral,neutral
neutral to neutral: He is charged in three bombings in Atlanta _ including a blast at the 1996 Olympics _ along with the bombing in Alabama .,He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama .,neutral,neutral
"neutral to neutral: They were found in a stolen van , said James Flateau , a spokesman for the state Department of Correctional Services .","State troopers arrested the men in a stolen van at the Jubilee Market on Route 14 in Horseheads , said James Flateau , a Department of Correctional Services spokesman .",neutral,neutral
"neutral to neutral: The city index outperformed the Dow Jones industrial average , which fell 0.9 percent for the week .","The blue-chip Dow Jones industrial average .DJI tacked on 97 points , or 1.14 percent , to 8,699 .",neutral,neutral
"neutral to neutral: State media said there were at least 770 dead and over 5,600 injured .","The latest toll given by officials to state media was 643 dead and over 4,600 injured .",neutral,neutral
"neutral to neutral: In the first three months of 2003 alone , weekly earnings adjusted for inflation fell 1.5 % -- the biggest drop in more than a decade , "" Lieberman said .","In the first quarter of this year , weekly earnings adjusted for inflation fell 1.5 percent - the biggest drop in more than a decade .",neutral,neutral
"neutral to neutral: The epidemic began in November in the mainland 's Guangdong province , but the People 's Republic of China refused to report truthfully about its spread for four months .","The PRC epidemic began in Guandong province in November , but the Communist Party government refused to report truthfully about its spread for four months .",neutral,neutral
neutral to neutral: IG Farben 's 500 properties were valued at around 38-million euros ( about R300-million ) and the firm had debts totalling about 28-million .,IG Farben 's 500 properties were valued at around 38 million euros ( $ 43.63 million ) and the firm had debts totalling some 28 million euros .,neutral,neutral
"neutral to neutral: Later in the day , a standoff developed between French soldiers and a Hema battlewagon that attempted to pass the UN compound .",French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound .,neutral,neutral
"neutral to neutral: Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .",Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .,neutral,neutral
"neutral to neutral: In a statement distributed Friday , 28 Chechen non-governmental organizations said they would boycott the vote .","In a statement distributed today , 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud .",neutral,neutral
"neutral to neutral: If the companies won 't , their drugs could be prescribed to Medicaid patients only with the state 's say-so .","If a company won 't do so , its drugs could be prescribed to Medicaid patients only with the state 's say-so .",neutral,neutral
"neutral to neutral: She told Murray , "" We ... we have ... the fresh air is going down fast ! """,""" The fresh air is going down fast ! "" she screamed at Murray .",neutral,neutral
"neutral to neutral: On April 11 , Mayor Bart Peterson said it was "" inconceivable "" that the airline would resume operations at the base that had employed 1,500 workers , including 1,100 mechanics .","On April 11 , Mayor Bart Peterson conceded that the facility 's fate was inevitable , quashing the hopes of the airline 's 1,500 local workers , including 1,100 mechanics .",neutral,neutral
"neutral to neutral: The 1 5 / 8 percent note maturing in April 2005 gained 1 / 16 to 100 13 / 32 , lowering its yield 1 basis points to 1.41 percent .",The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,neutral,neutral
"neutral to neutral: Williams was White , and four of his victims were Black ; the fifth was White .",Four of those killed by Williams were black ; the other was white .,neutral,neutral
"admiration to admiration: "" It 's amazing to be part of an industry that rewards its young , "" said Hernandez , who is a recent graduate of Parsons School of Design .",""" It 's amazing to be part of an industry that rewards its young , "" said Hernandez , who only graduated from Parsons School of Design last May .",admiration,admiration
"neutral to neutral: Technology stocks make up 42 percent of the Nasdaq , which fell 49.95 points , or 2.9 percent , to 1,698.02 .","The Nasdaq fell 49.95 points , or 2.86 percent , to end at 1,698.02 , based on the latest available data .",neutral,neutral
"neutral to neutral: A $ 500 million natural-gas-fired power plant , for example , could replace up to $ 100 million in boilers yearly without adding new smog controls .","A $ 500 million coal-fired power plant , for example , could replace $ 100 million in equipment yearly without adding new pollution controls .",neutral,neutral
"neutral to neutral: Shares of AstraZeneca AZN.N , Europe 's second biggest drugmaker , rose 3.71 percent to close at $ 43.05 on the New York Stock Exchange .","Shares of AstraZeneca , Europe ’ s second biggest drug company , rose 3 per cent on the New York Stock Exchange after the news .",neutral,neutral
"neutral to neutral: Along with chip.m.aker Intel , the companies include Sony Corp. , Microsoft Corp. , Hewlett-Packard Co . , International Business Machines Corp. , Gateway Inc . , Nokia Corp. and others .","Along with chip maker Intel , the companies include Sony , Microsoft , Hewlett-Packard , International Business Machines , Gateway , Nokia and others .",neutral,neutral
"neutral to neutral: "" It still remains to be seen whether the revenue recovery will be short-lived or long-lived , "" Mr. Sprayregen said .",""" It remains to be seen whether the revenue recovery will be short- or long-lived , "" said James Sprayregen , UAL bankruptcy attorney , in court .",neutral,neutral
"neutral to neutral: Some 14,000 customers were without power in the area , Oklahoma Gas and Electric said .","About 38,000 OGE Energy Corp. customers are without power , the company said on its Web site .",neutral,neutral
"neutral to neutral: The company has expanded into providing other services for buyers , including payment services .","The company has expanded those basic services , offering payment and even financing .",neutral,neutral
"surprise to surprise: Revelations of the expenditures shocked some employees at Delta , an airline that is cutting jobs as it struggles with increased security costs and fewer passengers .","Revelations of the expenditures shocked some employees at Delta , an airline that has posted huge losses and cut jobs as it struggles with increased security costs and fewer passengers .",surprise,surprise
"neutral to neutral: Researchers at Sweden 's Karolinska Institute reanalyzed data from more than 2,000 infants who had been treated with radiation for a benign birthmark condition between 1930 and 1959 .","Researchers at Sweden 's Karolinska Institute recently went over data from more than 2,000 children treated with radiation for a harmless birthmark condition between 1930 and 1959 .",neutral,neutral
"neutral to neutral: "" Apple is working with Oxford Semiconductor and affected drive manufacturers to resolve this issue , which resides in the Oxford 922 chipset , "" the company said in a statement .","Apple is working with Oxford Semiconductor and affected drive manufacturers to resolve this issue , which resides in the Oxford 922 chip-set . """,neutral,neutral
"neutral to neutral: A sign outside the Peachtree Restaurant reads : "" Pray for Eric Rudolph . """,""" Rudolph ate here "" , joked a sign outside one restaurant .",neutral,neutral
"neutral to neutral: From July 1 , 2002 , to June 30 , 2003 , the organization said it spent $ 114.3 million but took in only $ 39.5 million .","Between July 1 , 2002 and June 30 , 2003 , the Red Cross spent $ 114 million on disaster relief , while taking in only $ 39.5 million .",neutral,neutral
neutral to neutral: Niels told an interviewer in 1999 he thought the Old Man would outlive him by many years .,"In 1999 , two years before his death , Mr. Nielsen told an interviewer that he thought the rock face would outlive him by many years .",neutral,neutral
neutral to neutral: British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River .,Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames .,neutral,neutral
neutral to neutral: Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall .,Tony winners will be announced June 8 in televised ceremonies from Radio City Music Hall .,neutral,neutral
neutral to neutral: Only Intel Corp. has a lower dividend yield .,Only Intel 's 0.3 percent yield is lower .,neutral,neutral
"neutral to neutral: Since then , police divers have searched nearby parts of Long Island Sound looking for the remaining three .","Since then , police divers have searched those waters looking for the remaining three .",neutral,neutral
"gratitude to gratitude: The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like "" Thank You ! "" and "" Re : Details "" .","Sobig.F spreads when unsuspecting computer users open file attachments in e-mails that contain such familiar headings as "" Thank You ! , "" "" Re : Details "" or "" Re : That Movie . """,gratitude,gratitude
"neutral to neutral: The transfers would reduce P & G 's worldwide work force to slightly less than 100,000 .","The transfers would reduce P & G ’ s worldwide work force to slightly less than 100,000 , down from 110,000 several years ago .",neutral,neutral
"neutral to neutral: Two Iraqis and two Saudis grabbed shortly after the blast gave information leading to the arrest of the others , said the official .","The official , who spoke on condition of anonymity , said that two Iraqis and two Saudis detained after the attack gave information leading to the arrest of the others .",neutral,neutral
"neutral to neutral: In court papers filed Tuesday , Lee asked for an injunction against Viacom 's use of the name , saying he had never given his consent for it to be used .","In papers filed Tuesday in Manhattan 's state Supreme Court , Lee asked for an injunction against Viacom 's use of the name Spike for TNN .",neutral,neutral
neutral to neutral: They weighed an average 220 pounds ( 100 kg ) and needed to lose between 30 and 80 pounds .,They weighed an average 100 kilograms and needed to lose between 14 and 36 kilograms .,neutral,neutral
"neutral to neutral: Against the Swiss franc CHF = , the dollar was at 1.3172 francs , down 0.60 percent .",Against the yen the dollar was down 0.7 percent at 110.73 yen .,neutral,neutral
neutral to neutral: Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch .,Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch .,neutral,neutral
"neutral to neutral: The technology-laced Nasdaq Composite Index .IXIC rose 17.33 points , or 1.07 percent , to 1,640.13 .","The broader Standard & Poor 's 500 Index .SPX gained 5.51 points , or 0.56 percent , to 981.73 .",neutral,neutral
"neutral to neutral: The seizure occurred at 4am on March 18 , just hours before the first American air assault .",The seizure at 4 a.m. on March 18 was completed before employees showed up for work that day .,neutral,neutral
neutral to neutral: The moment of reckoning has arrived for this West African country founded by freed American slaves in the 19th century .,Taylor is now expected to leave the broken shell of a nation founded by freed American slaves in the 19th century .,neutral,neutral
neutral to neutral: The Hulk weekend take surpasses the previous June record of $ 54.9-million for Austin Powers : The Spy Who Shagged Me .,"It beat the previous record of $ 54.9 set by 1999 's "" Austin Powers : The Spy Who Shagged Me . """,neutral,neutral
"neutral to neutral: In early U.S. trade , the euro was down 1.06 percent at $ 1.1607 < EUR = > .","In late afternoon trade in New York , the euro was down 0.83 percent against the dollar at $ 1.1633 < EUR = > .",neutral,neutral
"neutral to neutral: Other data showed that buyers snapped up new and existing homes at a brisk pace in April , spurred by low mortgage rates .","Other data showed sales of existing and new homes grew at a robust pace in April , spurred by low mortgage rates .",neutral,neutral
neutral to neutral: A DOD team is working to determine how hackers gained access to the system and what needs to be done to fix the breach .,"A DoD team is on site to determine how this happened and what needs to be done to fix the breach , the release stated .",neutral,neutral
"neutral to neutral: Parrado 's aunt believes her nephew , who has served a prison sentence in Cuba , will be persecuted if he is repatriated .","Maria Parrado believes her nephew , who served a 12-year prison sentence in Cuba after being arrested in Cuban waters , will be persecuted if he is sent back there .",neutral,neutral
"neutral to neutral: "" It 's routine for IBM to challenge its internal IT teams to rigorously test new platforms and technologies inside IBM , "" she said .",""" It is routine for IBM to challenge its internal IT team to rigorously test new platforms and technology inside IBM . """,neutral,neutral
"neutral to neutral: Nearly 6,000 MTA drivers and train operators joined the mechanics in the picket line .","Nearly 6,000 MTA drivers and train operators then walked off the job in solidarity .",neutral,neutral
"neutral to neutral: The tech-laced Nasdaq Composite Index .IXIC shed 23.45 points , or 1.44 percent , to end at 1,603.97 , based on the latest data .","The Standard & Poor 's 500 Index was up 1.75 points , or 0.18 percent , to 977.68 .",neutral,neutral
"neutral to neutral: "" The Princess ' marriage was not set up by force , "" said Vasile Ionescu , of the Roma Centre for public policies .","Vasile Ionescu , of the Roma Centre for public policies , said : "" The princess 's marriage was not set up by force .",neutral,neutral
"neutral to neutral: CAPPS II will not use bank records , records indicating creditworthiness or medical records . ""","CAPPS II will not use bank records , credit records , or medical records , according to Loy and Kelly .",neutral,neutral
"neutral to neutral: "" Fewer than 10 "" FBI offices have conducted investigations involving visits to mosques , the Justice Department said .","In addition , the Justice Department said that the FBI has conducted ' ' fewer than 10 ' ' investigations involving visits to mosques .",neutral,neutral
neutral to neutral: Moore of Alabama says he will appeal his case to the nation 's highest court .,Moore has said he plans to appeal the matter to the U.S. Supreme Court .,neutral,neutral
neutral to neutral: Her body was found several weeks later in the Green River .,"Aug. 15 , 1982 : Remains of Chapman , Hinds and Mills are found in the Green River .",neutral,neutral
neutral to neutral: Money from Iraqi oil sales will go into that fund which will be controlled by the United States and Britain and used to rebuild the country .,"Money from oil sales will now be deposited in a new Development Fund for Iraq , controlled by the United States and Britain and used to rebuild the country .",neutral,neutral
neutral to neutral: He has also served on the president 's Homeland Security Advisory Council .,"Last year , Bush appointed him to the Homeland Security Advisory Council .",neutral,neutral
neutral to neutral: Mascia-Frye works in the state development office .,Mascia-Frye oversees European operations for the West Virginia Development Office .,neutral,neutral
neutral to neutral: He said it was not possible to rule out that the chemical was a cancer risk to humans .,"However , it is not possible to say whether it may pose a cancer risk to humans .",neutral,neutral
neutral to neutral: Galveston County District Attorney Kurt Sistrunk said his office received the recordings this week .,Galveston County District Attorney Kurt Sistrunk told Criss Wednesday his office only this week received the recordings .,neutral,neutral
"neutral to neutral: "" This is a wide-ranging and continuing investigation which is likely to result in numerous other charges , "" Mr Spitzer said .",""" This is a widening and continuing investigation , which is likely to result in numerous other charges , "" Mr. Spitzer said yesterday at a news conference .",neutral,neutral
"neutral to neutral: In early afternoon trading , the Dow Jones industrial average was up 7.58 , or 0.1 percent , at 9,381.79 .","The blue-chip Dow Jones industrial average .DJI was down 63.09 points , or 0.68 percent , at 9,270.70 .",neutral,neutral
"neutral to neutral: The decision could also prove useful in the "" war on terrorism "" .",Tuesday 's decision could prove useful to the government in the war on terrorism .,neutral,neutral
"neutral to neutral: Currently , the state 's congressional delegation is made up of 17 Democrats and 15 Republicans .","Although Republicans now hold every statewide office , the state 's congressional delegation comprises 17 Democrats and 15 Republicans .",neutral,neutral
neutral to neutral: Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926 .,"Only 29 families of frogs are known , most of which were named by the mid-1800s .",neutral,neutral
"neutral to neutral: Likewise , the 30-year bond US30YT = RR slid 23 / 32 for a yield of 4.34 percent , up from 4.30 percent .","The 30-year bond US30YT = RR lost 16 / 32 , taking its yield to 4.20 percent from 4.18 percent .",neutral,neutral
"neutral to neutral: The fighting around Bunia began after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from the town .","The fighting begun May 7 after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from in an around Bunia .",neutral,neutral
"neutral to neutral: An officer in the People 's Liberation Army selected from a pool of 14 , Lt-Col Yang is the son of a teacher and an official at an agricultural firm .","A lieutenant colonel in the People 's Liberation Army , Yang is the son of a teacher and an official at an agricultural firm .",neutral,neutral
"neutral to neutral: The Yankees , however , had big trouble handling Victor Zambrano ( 4-4 ) for the second straight time .",The Yankees wasted no time breaking through against Zambrano ( 4-4 ) in the rematch .,neutral,neutral
"neutral to neutral: A former candidate for governor of New York , he styled himself an advocate of better corporate governance .","Mr. McCall , who ran unsuccessfully for governor of New York in 2002 , styled himself an advocate of better corporate governance .",neutral,neutral
neutral to neutral: Yeager said the suspect in the Target attack showed tendencies of being a prior offender .,"Yeager said the incident appeared to be isolated , but the suspect showed tendencies of being a prior offender .",neutral,neutral
"neutral to neutral: His decision means that the case against Gary Lee Sampson , including the capital charges against him , will be tried in September .","That means the case against Gary Lee Sampson , including the capital charges , will now to trial in September .",neutral,neutral
neutral to neutral: That state will not emerge until the interim government decides on a process for writing a new constitution and for holding the first democratic elections .,That state will not emerge until the interim government decides on a process to write a new constitution and to hold the first democratic elections .,neutral,neutral
neutral to neutral: Sendmail said the system can even be set up to permit business-only usage .,"The product can be instructed to permit business-only use , according to Sendmail .",neutral,neutral
neutral to neutral: The Senate Armed Services Committee will hold a separate hearing Thursday .,It has not come to a vote yet in the Senate Armed Services Committee .,neutral,neutral
neutral to neutral: The telephone survey had a margin of error of 2 percentage points .,The poll conducted between Oct. 24 and Nov. 2 had a margin of error of 2 percentage points .,neutral,neutral
"neutral to neutral: In 2001 , President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors .","In 2001 , President Bush named her to the Student Loan Marketing Association , the largest U.S. lender for students .",neutral,neutral
neutral to neutral: Advancing issues outnumbered decliners about 8 to 5 on the New York Stock Exchange .,Declining issues outnumbered advancers slightly more than 3 to 1 on the New York Stock Exchange .,neutral,neutral
