input_text,target_text
"sadness to disappointment: An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel.","An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel."
sadness to disappointment: This represented the worst defeat suffered by the Japanese Army to that date.,This represented the worst defeat suffered by the Japanese Army to that date.
"admiration to approval: German musicians and, particularly, the pioneering bands Tangerine Dream and Kraftwerk have also contributed to the development of electronic music.","German musicians and, particularly, the pioneering bands Tangerine Dream and Kraftwerk have also contributed to the development of electronic music."
"sadness to disappointment: According to protesters, load shedding was depriving the cities of electricity 20–22 hours a day, causing businesses to go bust and making living extremely hard.","The protesters alleged that load shedding was causing the cities to face electricity deprivation for 20-22 hours a day, leading to the collapse of businesses and making life extremely challenging."
admiration to approval: The faith represents about a third of the world's population and is the largest religion in the world.,"About one-third of the world's population adheres to the faith, making it the most extensive religion worldwide."
"admiration to approval: It helped create a number of highly successful recording artists, such as Kelly Clarkson, Daughtry and Carrie Underwood, as well as others of varying notability.","It helped create a number of highly successful recording artists, such as Kelly Clarkson, Daughtry and Carrie Underwood, as well as others of varying notability."
"surprise to sadness: As prosperity began to return in the 1980s, the city was stunned by the Wah Mee massacre in 1983, when 13 people were killed in an illegal gambling club in the International District, Seattle's Chinatown.","As prosperity began to return in the 1980s, the city was stunned by the Wah Mee massacre in 1983, when 13 people were killed in an illegal gambling club in the International District, Seattle's Chinatown."
"admiration to approval: Impressed by British economic success that he had witnessed from the Ambassador, he successfully implemented similar economic policies in Portugal.","The Ambassador's display of British economic success had a profound impact on him, prompting him to successfully implement similar economic policies in Portugal."
"approval to realization: As the years went by, the three feudal lords and their extensive territories became increasingly autonomous.","As the years went by, the three feudal lords and their extensive territories became increasingly autonomous."
"approval to caring: I'm going to take care of myself.""","I'm going to take care of myself."""
"admiration to surprise: However, much to WWF's surprise, the fans enjoyed Austin's antics so much that he became one of the greatest antiheroes in the history of the business.","However, much to WWF's surprise, the fans enjoyed Austin's antics so much that he became one of the greatest antiheroes in the history of the business."
admiration to approval: Ashkenazi Jews have won a large number of the Nobel awards.,Ashkenazi Jews have won a large number of the Nobel awards.
admiration to approval: Association football is the country's most popular and most televised franchised sport.,"Association football is the most franchised and widely broadcasted sport in the country, and it is also the most popular."
approval to caring: They may help to assure smooth traffic flow between departing and arriving aircraft.,They may help to assure smooth traffic flow between departing and arriving aircraft.
"admiration to approval: At present the Alps are one of the more popular tourist destinations in the world with many resorts such Oberstdorf, in Bavaria, Saalbach in Austria, Davos in Switzerland, Chamonix in France, and Cortina d'Ampezzo in Italy recording more than a million annual visitors.","At present the Alps are one of the more popular tourist destinations in the world with many resorts such Oberstdorf, in Bavaria, Saalbach in Austria, Davos in Switzerland, Chamonix in France, and Cortina d'Ampezzo in Italy recording more than a million annual visitors."
"realization to disappointment: Originally, Canada was thought to have had the third-largest navy in the world, but with the fall of the Soviet Union, new data based on Japanese and Soviet sources found that to be incorrect.","Originally, Canada was thought to have had the third-largest navy in the world, but with the fall of the Soviet Union, new data based on Japanese and Soviet sources found that to be incorrect."
"approval to disapproval: This work has motivated a large number of studies, but is also controversial.","This work has motivated a large number of studies, but is also controversial."
admiration to approval: It is considered the spiritual home of the two sports in Australia.,This is where the two sports in Australia are thought to have their spiritual home.
approval to caring: Avoidance of triggers is a key component of improving control and preventing attacks.,"To improve control and prevent attacks, it is crucial to steer clear of triggers."
"approval to caring: Infections can be prevented by antiseptic measures such as sterilizing the skin prior to piercing it with the needle of a syringe, and by proper care of indwelling catheters.","Proper care of indwelling catheters and antiseptic measures, such as sterilizing the skin before piercing it with a needle, can prevent infections."
"excitement to joy: In 2009, Barcelona became the first Spanish club to win the continental treble consisting of La Liga, Copa del Rey, and the UEFA Champions League, and also became the first football club to win six out of six competitions in a single year, completing the sextuple in also winning the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup.","In 2009, Barcelona became the first Spanish club to win the continental treble consisting of La Liga, Copa del Rey, and the UEFA Champions League, and also became the first football club to win six out of six competitions in a single year, completing the sextuple in also winning the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup."
"joy to admiration: That same year, it also became the first football club ever to win six out of six competitions in a single year, thus completing the sextuple, comprising the aforementioned treble and the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup.","The football club created history by winning all six competitions in a single year, which comprised the treble, Spanish Super Cup, UEFA Super Cup, and FIFA Club World Cup."
"confusion to realization: As scientists have discovered more theropods closely related to birds, the previously clear distinction between non-birds and birds has become blurred.","As scientists have discovered more theropods closely related to birds, the previously clear distinction between non-birds and birds has become blurred."
"approval to realization: In the last decade, the amount of time that adolescents spend on the computer has greatly increased.","In the last decade, the amount of time that adolescents spend on the computer has greatly increased."
"caring to sadness: Because of the magnitude of the quake, and the media attention on China, foreign nations and organizations immediately responded to the disaster by offering condolences and assistance.","Because of the magnitude of the quake, and the media attention on China, foreign nations and organizations immediately responded to the disaster by offering condolences and assistance."
"gratitude to admiration: Today, the success of this program has made cotton the best-selling fiber in the U.S. and one of the best-selling fibers in the world.","Today, the success of this program has made cotton the best-selling fiber in the U.S. and one of the best-selling fibers in the world."
annoyance to disappointment: The Shagari government became viewed as corrupt and incompetent by virtually all sectors of Nigerian society.,The Shagari government became viewed as corrupt and incompetent by virtually all sectors of Nigerian society.
"disappointment to disapproval: Despite development efforts, his combative style during his five terms in office was not well received by many suburban residents.","Despite efforts to advance, his belligerent style during his five terms in office was not well-received by a considerable number of suburban inhabitants."
gratitude to approval: China stated it would gratefully accept international help to cope with the quake.,China stated it would gratefully accept international help to cope with the quake.
excitement to approval: The enthusiasm surrounding Bell's public displays laid the groundwork for universal acceptance of the revolutionary device.,The enthusiasm surrounding Bell's public displays laid the groundwork for universal acceptance of the revolutionary device.
"sadness to disappointment: Recently, its economic status has been affected by the global recession.","In recent times, the economic status of the region has been impacted by the global recession."
"surprise to disappointment: Bern was the site of the 1954 Football (Soccer) World Cup Final, a huge upset for the Hungarian Golden Team, who were beaten 3–2 by West Germany.","Bern was the site of the 1954 Football (Soccer) World Cup Final, a huge upset for the Hungarian Golden Team, who were beaten 3–2 by West Germany."
"admiration to approval: The album has been credited with widening the audiences for the genre, particularly by appealing to women as well as the traditional male dominated audience, and opening the door to MTV and commercial success for other bands at the end of the decade.","The album is attributed with increasing the genre's popularity, especially among female fans, and opening doors for other bands to achieve commercial success and MTV recognition in the late 80s."
gratitude to admiration: Boston's literary culture continues today thanks to the city's many universities and the Boston Book Festival.,"Boston's literary heritage remains vibrant, thanks in part to the city's many universities and the Boston Book Festival."
annoyance to disappointment: Barn systems have been found to have the worst bird welfare.,Barn systems have been found to have the worst bird welfare.
"fear to sadness: I damn-near cried, it made me feel so terrible.""","I was close to tears, it made me feel so miserable."
admiration to approval: Another important development was the popularization of science among an increasingly literate population.,Another important development was the popularization of science among an increasingly literate population.
"disgust to nervousness: Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors.","Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors."
disgust to annoyance: It was also said that staff were lax and lazy and the palace was dirty.,Reports suggested that the palace was dirty and the staff were not diligent in their duties.
"caring to nervousness: Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America.","Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America."
"gratitude to admiration: Bush himself was receptive to the apology, saying, ""I appreciate that.","Bush himself was receptive to the apology, saying, ""I appreciate that."
"admiration to approval: It worked particularly well on silk, satin and other luxury textiles.","It worked particularly well on silk, satin and other luxury textiles."
"joy to admiration: An enthusiastic boater, Bell and his family sailed or rowed a long series of vessels on Bras d'Or Lake, ordering additional vessels from the H.W.","An enthusiastic boater, Bell and his family sailed or rowed a long series of vessels on Bras d'Or Lake, ordering additional vessels from the H.W."
sadness to disappointment: UN morale hit rock bottom when commanding General Walton Walker of the U.S. Eighth Army was killed on 23 December 1950 in an automobile accident.,"The UN's morale hit an all-time low when General Walton Walker of the U.S. Eighth Army died in a car wreck on December 23, 1950."
"realization to surprise: The Ulm Maneuver completely surprised General Mack, who belatedly understood that his army had been cut off.","The Ulm Maneuver completely surprised General Mack, who belatedly understood that his army had been cut off."
admiration to approval: The Ulm Campaign is generally regarded as a strategic masterpiece and was influential in the development of the Schlieffen Plan in the late 19th century.,The Ulm Campaign is widely acknowledged as a strategic feat and played a crucial role in the formation of the Schlieffen Plan during the late 19th century.
"surprise to disappointment: More than 13,000 civilians had been killed, and almost 20,000 injured, in September and October alone, but the death toll was much less than expected.","Although September and October saw over 13,000 civilian deaths and almost 20,000 injuries, the actual death toll was lower than anticipated."
"approval to realization: By the early years of the 21st century, western clothing styles had, to some extent, become international styles.","By the early years of the 21st century, western clothing styles had, to some extent, become international styles."
"admiration to approval: This effort achieved a measure of success, with increased agricultural production and investment in industrialization.","The attempt was somewhat successful, as agricultural production and investment in industrialization experienced growth."
"amusement to admiration: All three of these bands have been seen as pivotal in the development of heavy metal, but where metal further accentuated the intensity of the music, with bands like Judas Priest following Sabbath's lead into territory that was often ""darker and more menacing"", hard rock tended to continue to remain the more exuberant, good-time music.","All three of these bands have been seen as pivotal in the development of heavy metal, but where metal further accentuated the intensity of the music, with bands like Judas Priest following Sabbath's lead into territory that was often ""darker and more menacing"", hard rock tended to continue to remain the more exuberant, good-time music."
fear to nervousness: Virtually all the conspirators fled the city after Caesar's death in fear of retaliation.,"Virtually every conspirator escaped the city after Caesar's demise, anxious about retaliation."
"confusion to curiosity: Why is not all nature in confusion, instead of the species being, as we see them, well defined?""","How is it that nature isn't in turmoil, with species being clearly delineated as we observe them?"
"optimism to desire: The proclamation recognized Chicago as the original home of house music and that the music's original creators ""were inspired by the love of their city, with the dream that someday their music would spread a message of peace and unity throughout the world"".","The proclamation recognized Chicago as the original home of house music and that the music's original creators ""were inspired by the love of their city, with the dream that someday their music would spread a message of peace and unity throughout the world""."
"admiration to approval: Chopin's music remains very popular and is regularly performed, recorded and broadcast worldwide.","The popularity of Chopin's music endures, with regular performances, recordings, and broadcasts taking place worldwide."
"joy to admiration: Hampstead Heath incorporates Kenwood House, the former stately home and a popular location in the summer months where classical musical concerts are held by the lake, attracting thousands of people every weekend to enjoy the music, scenery and fireworks.","Hampstead Heath includes Kenwood House, a former stately home that is a well-known spot in the summer months for classical music concerts by the lake, drawing in large crowds every weekend to appreciate the music, surroundings, and fireworks."
joy to realization: Coffeehouses represent a turning point in history during which people discovered that they could have enjoyable social lives within their communities.,The advent of coffeehouses represented a critical moment in history when people realized they could have enjoyable social interactions within their communities.
"fear to nervousness: represented almost all classes, the coffeeshop environment sparked fear in those who sought to preserve class distinction.","Although the coffee shop attracted a wide range of people, it made those who wanted to preserve class boundaries feel apprehensive."
joy to approval: Collegiate athletics are a popular draw in the state.,Collegiate athletics are a popular draw in the state.
"approval to realization: In the latter half of the 20th century, popular culture won greater acceptance, and the lines between high and low culture began to blur.","In the latter half of the 20th century, popular culture won greater acceptance, and the lines between high and low culture began to blur."
"approval to annoyance: Fraud is a problem in many fields, but is notoriously prevalent in the construction field.","Fraud is a problem in many fields, but is notoriously prevalent in the construction field."
"approval to desire: The ultimate goal is human flourishing; making life better for all humans, and as the most conscious species, also promoting concern for the welfare of other sentient beings and the planet as a whole.","The ultimate goal is to achieve human flourishing, which involves enhancing the well-being of all humans and promoting awareness of the welfare of other sentient beings and the planet as a whole."
"optimism to caring: The focus is on doing good and living well in the here and now, and leaving the world a better place for those who come after.","The main concern is to make a difference and enjoy life in the present, while also leaving a better world for those who follow."
"joy to admiration: He stated: “This is the 24th Bond film and it ranks solidly in the middle of the all-time rankings, which means it’s still a slick, beautifully photographed, action-packed, international thriller with a number of wonderfully, ludicrously entertaining set pieces, a sprinkling of dry wit, myriad gorgeous women and a classic psycho-villain who is clearly out of his mind but seems to like it that way.” Michael Phillips over at the Chicago Tribune, gave it a 75 grade.","He stated: “This is the 24th Bond film and it ranks solidly in the middle of the all-time rankings, which means it’s still a slick, beautifully photographed, action-packed, international thriller with a number of wonderfully, ludicrously entertaining set pieces, a sprinkling of dry wit, myriad gorgeous women and a classic psycho-villain who is clearly out of his mind but seems to like it that way.” Michael Phillips over at the Chicago Tribune, gave it a 75 grade."
"admiration to love: Mabel was a bright, attractive girl who was ten years Bell's junior, but became the object of his affection.","Bell fell in love with Mabel, a bright and captivating young lady who was ten years his junior."
"admiration to approval: Despite its tropical wet and dry climate, extensive irrigation makes it a rich agricultural region.","Despite the unfavorable tropical wet and dry climate, the region's agricultural productivity has been boosted by its extensive irrigation."
gratitude to approval: The buildings and big squares of the Pombaline City Centre still remain as one of Lisbon's tourist attractions.,The buildings and big squares of the Pombaline City Centre still remain as one of Lisbon's tourist attractions.
admiration to approval: Midtown is one of the most successful areas within Detroit to have a residential occupancy rate of 96%.,"One of the most prosperous areas in Detroit is Midtown, which has a residential occupancy rate of 96%."
"annoyance to disappointment: Already a controversial figure in the clubhouse after his corked-bat incident, Sammy's actions alienated much of his once strong fan base as well as the few teammates still on good terms with him, (many teammates grew tired of Sosa playing loud salsa music in the locker room) and possibly tarnished his place in Cubs' lore for years to come.","Already a controversial figure in the clubhouse after his corked-bat incident, Sammy's actions alienated much of his once strong fan base as well as the few teammates still on good terms with him, (many teammates grew tired of Sosa playing loud salsa music in the locker room) and possibly tarnished his place in Cubs' lore for years to come."
"gratitude to admiration: Despite the failures in Egypt, Napoleon returned to a hero's welcome.","Despite his failures in Egypt, Napoleon was hailed as a hero upon his return."
"admiration to approval: Despite these crises, the 14th century was also a time of great progress in the arts and sciences.","Despite the difficulties encountered in the 14th century, there were significant strides made in the arts and sciences."
admiration to approval: It was a valuable blunder ...,The misstep had a valuable result.
"confusion to disapproval: The Susan B. Anthony dollar coin was introduced in 1979; these proved to be unpopular because they were often mistaken for quarters, due to their nearly equal size, their milled edge, and their similar color.","The Susan B. Anthony dollar coin was introduced in 1979; these proved to be unpopular because they were often mistaken for quarters, due to their nearly equal size, their milled edge, and their similar color."
"admiration to love: From a number of accounts, singing was apparently one of Dominic's great delights.",Dominic's love for singing was evident from several testimonies.
"sadness to disappointment: Due to industrial restructuring and loss of jobs in the auto industry, Detroit lost considerable population from the late 20th century to present.",Detroit's population significantly decreased from the late 20th century to present due to industrial restructuring and job losses in the auto industry.
"sadness to disappointment: Many other neighborhoods remain distressed, with extensive abandonment of properties.","Many other localities are still struggling, with a high degree of property abandonment."
"admiration to approval: Its comparatively favorable agricultural climate contributed (in part) to the country's rise as a world power, with infrequent severe drought in the major agricultural regions, a general lack of widespread flooding, and a mainly temperate climate that receives adequate precipitation.","The country's agricultural climate, which was relatively favorable, contributed to its emergence as a world power, with major farming regions experiencing few severe droughts, little widespread flooding, and a mostly temperate climate with adequate precipitation."
"amusement to admiration: His letters home from Szafarnia (to which he gave the title ""The Szafarnia Courier""), written in a very modern and lively Polish, amused his family with their spoofing of the Warsaw newspapers and demonstrated the youngster's literary gift.","His letters from Szafarnia, titled ""The Szafarnia Courier,"" were composed in a lively and up-to-date Polish, providing his family with entertainment through their mockery of the Warsaw press and highlighting the young man's literary talent."
admiration to approval: This highlighted the visibility of the state as a worthy place for tourism.,This drew attention to the state's appeal as a tourism destination.
"sadness to disappointment: The city's tourism, however, was dealt major blows in the late 19th century by yellow fever outbreaks.","The city's tourism, however, was dealt major blows in the late 19th century by yellow fever outbreaks."
realization to sadness: These partially fulfilled plans resulted in the deaths of an estimated 19.3 million civilians and prisoners of war.,These partially fulfilled plans resulted in the deaths of an estimated 19.3 million civilians and prisoners of war.
"amusement to admiration: They were all incredibly funny ... and I saw myself in them ... my girlishness, my knowingness and my innocence.""","Their comedic talents were impressive, and I identified with their combination of youthful exuberance, worldly awareness, and pure-heartedness."
"disappointment to disapproval: However, Madonna's film career has been largely received negatively by the film critic community.",Madonna's foray into the film industry has been met with mostly negative reviews from critics.
"admiration to desire: Goals are to eventually handle 120 million passengers a year, which would make it the busiest airport in the world.","Goals are to eventually handle 120 million passengers a year, which would make it the busiest airport in the world."
"sadness to disappointment: During the 1930s, parts of the state began suffering the consequences of poor farming practices, extended drought and high winds.","In the 1930s, inadequate farming practices, prolonged drought, and strong winds had an impact on certain parts of the state."
disappointment to disapproval: The loss of the divisions did not set well with the states.,The loss of the divisions did not sit well with the states.
"excitement to admiration: It was an extraordinary time, and in that span of time is the change of an entire generation"".","It was an extraordinary time, and in that span of time is the change of an entire generation""."
admiration to approval: I'm all for exposing children to wonderful cultural experiences.,I am completely in agreement with exposing children to exceptional cultural experiences.
"admiration to approval: China, with the world's largest population, has slowly risen to great power status, with large growth in economic and military power in the post-war period.","Boasting the world's largest population, China has gradually become a major global power, experiencing significant growth in both economic and military might in the post-World War II period."
"excitement to joy: During the celebration, theaters called tablados are built in many places throughout the cities, especially in Montevideo.","During the celebration, theaters called tablados are built in many places throughout the cities, especially in Montevideo."
"realization to disappointment: During the last century, decreases in biodiversity have been increasingly observed.","During the last century, decreases in biodiversity have been increasingly observed."
"optimism to realization: Over the next decade, the city saw a major increase in total homicides.","Over the next decade, the city saw a major increase in total homicides."
"sadness to disappointment: In 2007, however, the housing market crashed causing lots of foreclosures on houses.","In 2007, however, the housing market crashed causing lots of foreclosures on houses."
"sadness to disappointment: In 2012, Forbes magazine named Miami the most miserable city in the United States because of a crippling housing crisis that has cost multitudes of residents their homes and jobs.","In 2012, Forbes magazine named Miami the most miserable city in the United States because of a crippling housing crisis that has cost multitudes of residents their homes and jobs."
"gratitude to approval: During the oil boom of the 1970s, Nigeria joined OPEC and the huge revenue generated made the economy richer.","During the oil boom of the 1970s, Nigeria joined OPEC and the huge revenue generated made the economy richer."
joy to admiration: They enjoyed Greek theater and Greek art influenced Parthian art.,Their appreciation for Greek theater was accompanied by the influence of Greek art on Parthian art.
"anger to annoyance: The battle outraged opinion in UK, which called for war.","The battle sparked public outrage in the UK, leading to a call for war."
"sadness to disappointment: Economies were also impacted with the loss of artisans, merchants, manufacturers and agriculturists.","The absence of artisans, merchants, manufacturers, and agriculturists had an adverse effect on the economy."
