input_text,target_text
"admiration to approval: There are churches for all major branches of Christianity within the city, multiple store-front churches, ministries (especially in working-class Latino and Black neighborhoods), a mosque, many synagogues (including two yeshivas), and other places of worship; the level of religious diversity in the city is high.","There are churches for all major branches of Christianity within the city, multiple store-front churches, ministries (especially in working-class Latino and Black neighborhoods), a mosque, many synagogues (including two yeshivas), and other places of worship; the level of religious diversity in the city is high."
admiration to approval: New Zealand has a strong hunting culture.,Hunting is a significant part of New Zealand's cultural heritage.
"excitement to admiration: By winning, Fradiani became the first winner from the Northeast region.","By winning, Fradiani became the first winner from the Northeast region."
"admiration to approval: As confraternities have extensive connections with political and military figures, they offer excellent alumni networking opportunities.",The extensive connections of confraternities with political and military figures make them an ideal source of alumni networking opportunities.
admiration to approval: This day-to-day commitment to precise and reliable nuclear operations is the cornerstone of the credibility of the NDO mission.,This day-to-day commitment to precise and reliable nuclear operations is the cornerstone of the credibility of the NDO mission.
admiration to approval: They are regarded as the best solution in terms of cost effectiveness and robustness.,They are acknowledged as the most economical and sturdy solution.
"sadness to disappointment: The Holocaust also effectively put an end to the dynamic development of the Yiddish language in the previous decades, as the vast majority of the Jewish victims of the Holocaust, around 5 million, were Yiddish speakers.","The Holocaust also effectively put an end to the dynamic development of the Yiddish language in the previous decades, as the vast majority of the Jewish victims of the Holocaust, around 5 million, were Yiddish speakers."
"fear to sadness: The worst of which occurred in 1978, when six employees of a Sirloin Stockade restaurant on the city's south side were murdered execution-style in the restaurant's freezer.","The worst of which occurred in 1978, when six employees of a Sirloin Stockade restaurant on the city's south side were murdered execution-style in the restaurant's freezer."
excitement to admiration: This triggered one of the largest gold rushes the world has ever seen.,This incident led to one of the most extensive gold rushes in the world's history.
"sadness to disappointment: His efforts were frustrated by political turmoil and a devastating drought between 1968 to 1974, in which famine killed thousands of people.","His efforts were frustrated by political turmoil and a devastating drought between 1968 to 1974, in which famine killed thousands of people."
"admiration to approval: His goodness reached across temporal boundaries to warm the hearts of men of all nations and of all faiths"".","The warmth of his compassion crossed temporal barriers, touching the hearts of people from diverse cultures and beliefs."
"joy to approval: The good news, though, is that Roger and I have a much closer mutual understanding these days—privately and professionally ... and all ideas are carefully considered.","Nowadays, Roger and I have a much tighter mutual understanding, both privately and professionally, and we thoroughly assess all ideas."
"sadness to disappointment: In October 2011, Moody's Investor Services downgraded nine Portuguese banks due to financial weakness.","In October 2011, Moody's Investor Services downgraded nine Portuguese banks due to financial weakness."
"admiration to approval: During the period, Tito evidently enjoyed massive popular support due to being generally viewed by the populace as the liberator of Yugoslavia.","During the period, Tito evidently enjoyed massive popular support due to being generally viewed by the populace as the liberator of Yugoslavia."
"admiration to approval: On December 21, Obama proposed the nomination which received positive commentary.","On December 21, Obama proposed the nomination which received positive commentary."
"admiration to approval: This contract, worth almost $100 million, is the most lucrative in the history of the NCAA.","The NCAA's most lucrative contract ever, valued at almost $100 million, has been signed."
joy to admiration: I am happy and I say: This is beautiful.,I express my happiness as I admire the beauty of this.
"caring to sadness: One of the key concerns of older adults is the experience of memory loss, especially as it is one of the hallmark symptoms of Alzheimer's disease.","Memory loss is a major issue for older adults, particularly because it is one of the key symptoms of Alzheimer's disease."
"gratitude to admiration: Its rich history attracts many tourists, with Faneuil Hall alone drawing over 20 million visitors per year.","Its rich history attracts many tourists, with Faneuil Hall alone drawing over 20 million visitors per year."
"sadness to disappointment: In the late 1980s, the city's economy suffered from the nationwide recession.","The city's economy experienced a downturn in the late 1980s, which was attributed to the nationwide recession."
"optimism to approval: In Egypt, the economic situation was more positive, with a GNP growth of 4.5 percent and a rapid growth of industry.","In Egypt, the economic situation was more positive, with a GNP growth of 4.5 percent and a rapid growth of industry."
approval to disapproval: It is currently the least undesirable of a set of very bad choices.,It is currently the least undesirable of a set of very bad choices.
gratitude to approval: The tolerance displayed by the Turks was welcomed by the immigrants.,The tolerance displayed by the Turks was welcomed by the immigrants.
disappointment to disapproval: Surgical treatment rarely provides lasting relief.,Surgical treatment rarely provides lasting relief.
"admiration to approval: In 2014 Paris received 22.4 million visitors, making it one of the world's top tourist destinations.","One of the world's top tourist destinations, Paris attracted 22.4 million visitors in 2014."
admiration to approval: The construction of gods and spirits like persons is one of the best known traits of religion.,The construction of gods and spirits in the likeness of humans is a widely recognized aspect of religion.
"approval to sadness: This letter shows clearly his stand that accepting Jesus is the Divine Son of God is not optional but necessary; ""I know moreover that not only this thing saddens you, but also the fact that while others have obtained the churches by violence, you are meanwhile cast out from your places.","This letter shows clearly his stand that accepting Jesus is the Divine Son of God is not optional but necessary; ""I know moreover that not only this thing saddens you, but also the fact that while others have obtained the churches by violence, you are meanwhile cast out from your places."
"admiration to approval: An anthropology of the state developed, and it is a most thriving field today.",Anthropology of the state has become a thriving field of study today.
"admiration to approval: He appreciated the advantages of democracy: ""It is an invaluable gift, if God allows a people to freely elect its own authorities and overlords.""","He comprehended the benefits of democracy, underscoring that it is an invaluable boon when a nation is allowed to democratically elect its own rulers and governors."
optimism to caring: Khrushchev would later send a message via Norman Cousins and the letter expressed his best wishes for the pontiff's ailing health.,Khrushchev would later send a message via Norman Cousins and the letter expressed his best wishes for the pontiff's ailing health.
"approval to disapproval: In effect, Popper agreed with some of the points of both creationists and naturalists, but also disagreed with both views on crucial aspects.","In effect, Popper agreed with some of the points of both creationists and naturalists, but also disagreed with both views on crucial aspects."
"sadness to disappointment: Portugal lost much of its wealth and status with the destruction of Lisbon in a 1755 earthquake, occupation during the Napoleonic Wars, and the independence of Brazil, its wealthiest colony, in 1822.","Portugal's wealth and status were greatly diminished by the 1755 earthquake that destroyed Lisbon, the Napoleonic Wars' occupation, and the independence of Brazil, its most prosperous colony, in 1822."
gratitude to approval: These treatments have been estimated to have saved 50 million children in the past 25 years.,These treatments have been estimated to have saved 50 million children in the past 25 years.
"admiration to disappointment: Somerset House in London, designed by Sir William Chambers in 1776 for government offices, was as magnificent as any country house, though never quite finished, as funds ran out.","Somerset House in London, created by Sir William Chambers in 1776 for government offices, was a magnificent building that could rival any country estate, but it was never fully finished due to a lack of funds."
sadness to disappointment: The educational infrastructure has been seriously degraded as a result of political and economic crises.,"The educational infrastructure has been seriously impacted by political and economic crises, leading to degradation."
"admiration to approval: For those who had reached their goal in the Cursus honorum, permanent priesthood was best sought or granted after a lifetime's service in military or political life, or preferably both: it was a particularly honourable and active form of retirement which fulfilled an essential public duty.","For those who had reached their goal in the Cursus honorum, permanent priesthood was best sought or granted after a lifetime's service in military or political life, or preferably both: it was a particularly honourable and active form of retirement which fulfilled an essential public duty."
"admiration to caring: He showed a great concern for the welfare of his men, and on their retirement, provided funds for many of them to establish taverns, which were subsequently named after him.","He manifested a considerable concern for the welfare of his men and provided financial support for many of them to open taverns, which were subsequently named after him."
admiration to approval: Agriculture flourished and trading cities (such as Multan and Lahore) grew in wealth.,Agriculture flourished and trading cities (such as Multan and Lahore) grew in wealth.
"admiration to approval: Since independence, Punjab has become the seat of political and economic power; it remains the most industrialised province of Pakistan.","Since independence, Punjab has become the seat of political and economic power; it remains the most industrialised province of Pakistan."
approval to disappointment: Quality dropped but variety increased with the introduction of microwave ovens and freezer food.,Microwave ovens and freezer food brought about an increase in variety but a decrease in quality.
"admiration to approval: Its inclusion helped the song reach number two on the Billboard Hot 100 for five weeks in 1992 (it remained in the Hot 100 for over 40 weeks), and won the band an MTV Award at the 1992 MTV Video Music Awards.","Its incorporation was instrumental in the song's ascent to the second position on the Billboard Hot 100 for five weeks in 1992, and it remained on the chart for over 40 weeks, resulting in the band receiving an MTV Award at the 1992 MTV Video Music Awards."
"admiration to approval: The compilation album Classic Queen also reached number four on the Billboard 200, and is certified three times platinum in the US.","The compilation album Classic Queen also reached number four on the Billboard 200, and is certified three times platinum in the US."
"admiration to approval: Known as the most stable local, non-formal system of education providing basic religious and moral instruction, their strength rests on community support and their use of locally made and widely available teaching materials.","The most stable local education system, which is informal, is known for providing fundamental religious and moral teachings, relying on community support and locally sourced teaching materials."
approval to caring: Use of caution is therefore recommended when interpreting changes in the racial composition of the US population over time.,It is prudent to be careful when interpreting changes in the racial structure of the US population over time.
optimism to approval: Local hunting clubs and national organizations provide hunter education and help protect the future of the sport by buying land for future hunting use.,Local hunting clubs and national organizations provide hunter education and help protect the future of the sport by buying land for future hunting use.
caring to nervousness: There is a concern for religious institutions becoming active in the political sphere.,There is a worry about religious institutions' participation in the political sphere.
admiration to approval: Participation in public rites showed a personal commitment to their community and its values.,Participation in public rites showed a personal commitment to their community and its values.
"admiration to approval: Respect for the written text of the Quran is an important element of religious faith by many Muslims, and the Quran is treated with reverence.","The Quran is treated with reverence by many Muslims, who consider it to be an essential part of their religious faith."
"admiration to approval: They have won eight titles in the European UEFA club competitions, were present in many finals and have been regular contenders in the last stages almost every season.","They have won eight titles in the European UEFA club competitions, were present in many finals and have been regular contenders in the last stages almost every season."
"admiration to approval: The island is a popular tourist destination during the winter holiday season, especially for the rich and famous during the Christmas and new year period.","The island is a sought-after tourist spot during the winter holiday season, particularly for the affluent and famous, who visit during the Christmas and new year period."
"gratitude to admiration: San Diego always scores very high in the number of bird species observed in the annual Christmas Bird Count, sponsored by the Audubon Society, and it is known as one of the ""birdiest"" areas in the United States.","San Diego always scores very high in the number of bird species observed in the annual Christmas Bird Count, sponsored by the Audubon Society, and it is known as one of the ""birdiest"" areas in the United States."
"sadness to disappointment: In addition to damage caused by the fire, smoke resulted in a significant increase in emergency room visits due to asthma, respiratory problems, eye irritation, and smoke inhalation; the poor air quality caused San Diego County schools to close for a week.","In addition to damage caused by the fire, smoke resulted in a significant increase in emergency room visits due to asthma, respiratory problems, eye irritation, and smoke inhalation; the poor air quality caused San Diego County schools to close for a week."
confusion to disapproval: Scholars disagree over the effects of social status on racial classifications in Brazil.,Scholars disagree over the effects of social status on racial classifications in Brazil.
"amusement to gratitude: The following day, he endorsed McCain, joking, ""It's Rudy's fault!""","The following day, he threw his weight behind McCain, jesting, ""Thanks a lot, Rudy!"""
"admiration to approval: Though it was affected by the Great Recession, Seattle has retained a comparatively strong economy, and remains a hotbed for start-up businesses, especially in green building and clean technologies: it was ranked as America's No.","Seattle's economy has weathered the effects of the Great Recession and remains a vibrant hub for start-up businesses, particularly in the areas of green building and clean technologies. Its status as America's No. "
disappointment to disapproval: An English Treble has never been achieved.,An English Treble has never been achieved.
"confusion to disapproval: This result has been controversial, since it would imply that that sponges may not be so primitive, but may instead be secondarily simplified.","This result has been controversial, since it would imply that that sponges may not be so primitive, but may instead be secondarily simplified."
fear to nervousness: The continuing development of the crisis has prompted fears of a global economic collapse although there are now many cautiously optimistic forecasters in addition to some prominent sources who remain negative.,"The crisis's continuing development has caused worries of a global financial collapse, although there are now many cautiously optimistic forecasters in addition to some prominent sources who remain negative."
sadness to disappointment: The economic crisis in Iceland involved all three of the country's major banks.,The economic downturn in Iceland impacted all three of its major banks.
"sadness to disappointment: Relative to the size of its economy, Iceland’s banking collapse is the largest suffered by any country in economic history.","Iceland's banking collapse is the largest ever experienced by any country, considering the size of its economy."
"admiration to approval: Plastics offer better stability and ageing performance, which makes them useful in timer circuits, although they may be limited to low operating temperatures and frequencies.","Plastics offer better stability and ageing performance, which makes them useful in timer circuits, although they may be limited to low operating temperatures and frequencies."
disappointment to disapproval: Such a plan (which was defeated in Congress) would have seriously undermined the judiciary's independence and power.,Such a plan (which was defeated in Congress) would have seriously undermined the judiciary's independence and power.
gratitude to approval: Programs such as the International Baccalaureate have contributed to the internationalization of education.,Programs such as the International Baccalaureate have contributed to the internationalization of education.
"sadness to disappointment: In the Carboniferous, rainforest collapse led to a great loss of plant and animal life.",The collapse of rainforests in the Carboniferous era caused a significant decrease in plant and animal populations.
"approval to disappointment: A majority of 59% have a positive view of the country, while 14% have a negative view.","59% of the population has a good impression of the country, while 14% have a bad impression."
"excitement to approval: Following the end of the Maoist insurgency, there was a significant rise of 509,956 tourist arrivals in 2009.","Following the end of the Maoist insurgency, there was a significant rise of 509,956 tourist arrivals in 2009."
"admiration to approval: Skiing, snowboarding and mountaineering are among the most popular sports in Switzerland, the nature of the country being particularly suited for such activities.","Skiing, snowboarding and mountaineering are among the most popular sports in Switzerland, the nature of the country being particularly suited for such activities."
"approval to caring: Therefore, it is important to get the proper amount of sleep so that memory can function at the highest level.","Therefore, it is important to get the proper amount of sleep so that memory can function at the highest level."
"sadness to disappointment: Socioeconomic factors, in combination with early but enduring views of race, have led to considerable suffering within disadvantaged racial groups.","The lasting racial attitudes, in conjunction with socioeconomic factors, have led to significant adversity among disadvantaged racial groups."
fear to nervousness: Especially states with a fragile political system have to fear that investors from Western states withdraw their money because of the crisis.,The possibility of Western investors pulling out their investments due to the crisis is a significant concern for states with a fragile political system.
disgust to disappointment: Prognosis is worse if a mechanical complication such as papillary muscle or myocardial free wall rupture occurs.,A mechanical complication such as a rupture in the papillary muscle or myocardial free wall can lead to a worse prognosis.
realization to disapproval: Some theories popular from the 1950s to 2011 incorrectly stated that inequality had a positive effect on economic development.,Some theories popular from the 1950s to 2011 incorrectly stated that inequality had a positive effect on economic development.
disappointment to disapproval: Analyses based on comparing yearly equality figures to yearly growth rates were misleading because it takes several years for effects to manifest as changes to economic growth.,The comparison of yearly equality figures to yearly growth rates for analysis is flawed as it takes a few years for changes in economic growth to materialize.
admiration to approval: Southampton is a major UK port which has good transport links with the rest of the country.,"Southampton, a major port in the UK, has reliable transport connections to the rest of the nation."
"surprise to disappointment: They lifted the FA Cup with a shock victory over Manchester United in 1976, returned to the top flight two years later, and stayed there for 27 years (becoming founder members of the Premier League in 1992) before they were relegated in 2005.","They lifted the FA Cup with a shock victory over Manchester United in 1976, returned to the top flight two years later, and stayed there for 27 years (becoming founder members of the Premier League in 1992) before they were relegated in 2005."
"admiration to approval: Southern California is famous for tourism and Hollywood (film, television, and music).","Southern California is popular for its tourism and the entertainment industry, which includes film, television, and music."
"admiration to disapproval: Spectre received mixed reviews upon its release; although criticised for its length, lack of screen time for new characters, and writing, it received praise for its action sequences and cinematography.","The release of Spectre resulted in mixed reviews, with some praising its action sequences and cinematography, while others criticized its length, lack of screen time for new characters, and writing."
"admiration to disappointment: The theme song, ""Writing's on the Wall"", received mixed reviews, particularly compared to the previous theme; nevertheless, it won the Golden Globe for Best Original Song and was nominated for the Academy Award in the same category.","The theme song ""Writing's on the Wall"" was not universally praised, but it still managed to win the Golden Globe for Best Original Song and receive an Academy Award nomination in the same category, despite being compared unfavorably to the previous theme."
"admiration to approval: The film received strong reviews with the review tallying website Rotten Tomatoes giving it a 92% approval rating, reporting that 206 out of the 225 reviews they tallied were positive.","Rotten Tomatoes gave the film a 92% approval rating, based on 206 positive reviews out of 225 total reviews."
"admiration to approval: Nowadays, Strasbourg is known to offer among the best university courses in France, after Paris.","Nowadays, Strasbourg is known to offer among the best university courses in France, after Paris."
admiration to approval: Their development of deductive reasoning was of particular importance and usefulness to later scientific inquiry.,The progress they made in deductive reasoning was particularly important and useful for scientific investigations in the future.
"joy to admiration: Surrounded by the Yangtze River and mountains, Nanjing also enjoys beautiful natural scenery.",The natural beauty of Nanjing is enhanced by the Yangtze River and mountains that surround it.
"admiration to approval: Although the site is considered Buddhist, it is revered by both Buddhists and Hindus.","Although the site is considered Buddhist, it is revered by both Buddhists and Hindus."
"admiration to approval: Technology magazine T3 gave the Super Slim model a positive review, stating the console is almost ""nostalgic"" in the design similarities to the original ""fat"" model, ""While we don’t know whether it will play PS3 games or Blu-ray discs any differently yet, the look and feel of the new PS3 Slim is an obvious homage to the original PS3, minus the considerable excess weight.","Technology magazine T3 gave the Super Slim model a positive review, stating the console is almost ""nostalgic"" in the design similarities to the original ""fat"" model, ""While we don’t know whether it will play PS3 games or Blu-ray discs any differently yet, the look and feel of the new PS3 Slim is an obvious homage to the original PS3, minus the considerable excess weight."
"caring to nervousness: Immediately we would be concerned about the durability of the top loading tray that feels like it could be yanked straight out off the console, but ultimately it all feels like Sony's nostalgic way of signing off the current generation console in anticipation for the PS4.""","The top loading tray's durability is a worry, but it seems like Sony is using it as a sentimental way to wrap up the current console generation in anticipation of the PS4."
"admiration to approval: Tennessee has played a critical role in the development of many forms of American popular music, including rock and roll, blues, country, and rockabilly.","Tennessee has played a critical role in the development of many forms of American popular music, including rock and roll, blues, country, and rockabilly."
"joy to disappointment: With new signings like Malcolm Macdonald and Pat Jennings, and a crop of talent in the side such as Liam Brady and Frank Stapleton, the club enjoyed their best form since the 1971 double, reaching a trio of FA Cup finals (1978, 1979 and 1980), and losing the 1980 European Cup Winners' Cup Final on penalties.","With the addition of players like Malcolm Macdonald and Pat Jennings, and a strong group of players like Liam Brady and Frank Stapleton already on the team, the club experienced their most successful period since the 1971 double, making it to three FA Cup finals (1978, 1979, and 1980) and narrowly missing out on the 1980 European Cup Winners' Cup Final."
admiration to approval: It is culturally diverse and also includes significant Mexican-American and Asian-American (principally Hmong or Laotian) populations.,It is culturally diverse and also includes significant Mexican-American and Asian-American (principally Hmong or Laotian) populations.
"approval to realization: With increasing industrialisation, London's population grew rapidly throughout the 19th and early 20th centuries, and it was for some time in the late 19th and early 20th centuries the most populous city in the world.","With increasing industrialisation, London's population grew rapidly throughout the 19th and early 20th centuries, and it was for some time in the late 19th and early 20th centuries the most populous city in the world."
admiration to disappointment: Their work was admired by contemporaries but was totally destroyed in later centuries except two fragments depicting greyhounds (now in the Monte Cassino Museum).,"Despite being admired by their contemporaries, their work was destroyed in later centuries, with only two fragments depicting greyhounds surviving and now being displayed at the Monte Cassino Museum."
admiration to approval: The Alpine region has a strong cultural identity.,The cultural identity of the Alpine region is deeply ingrained.
"surprise to disappointment: The aim is surprisingly, astonishingly, amazingly inaccurate ...",The purpose is amazingly flawed...
"fear to disappointment: The mountain top removal method of coal mining, in which entire mountain tops are removed, is currently threatening vast areas and ecosystems of the Appalachian Mountain region.","The mountain top removal method of coal mining, in which entire mountain tops are removed, is currently threatening vast areas and ecosystems of the Appalachian Mountain region."
sadness to disappointment: The struggles with Rome had left Greece depopulated and demoralised.,The battles with Rome had caused Greece to become depopulated and demoralized.
"gratitude to admiration: As well as being a broadcaster, the corporation also produces a large number of its own programmes in-house, thereby ranking as one of the world's largest television production companies.","As well as being a broadcaster, the corporation also produces a large number of its own programmes in-house, thereby ranking as one of the world's largest television production companies."
"approval to realization: After decades in which urban populations had been underrepresented in many state legislatures, this significant ruling led to an increased (and proportional) prominence in state politics by urban and, eventually, suburban, legislators and statewide officeholders in relation to their population within the state.","For decades, urban populations were not adequately represented in state legislatures, but this ruling changed that by increasing the prominence of urban and suburban legislators and statewide officeholders in relation to their population within the state."
"sadness to disappointment: They were unsuccessful; the result was 180 dead, wounded, or taken prisoner.","They were unsuccessful; the result was 180 dead, wounded, or taken prisoner."
"admiration to disappointment: The Boulton Paul Defiant, despite its poor performance during daylight engagements, was a much better night fighter.","The Boulton Paul Defiant's daytime engagements were disappointing, but it was a superior fighter at night."
"sadness to disappointment: It is this unfortunate distinction that has led to the club often being known as ""The Lovable Losers.""","The club's reputation for losing has led to it being commonly known as ""The Lovable Losers."""
"gratitude to admiration: Established in 1955, it is regarded as one of the best high schools in the country, blending a rigorous curriculum with strong extracurricular activities.","Established in 1955, it is regarded as one of the best high schools in the country, blending a rigorous curriculum with strong extracurricular activities."
"sadness to disappointment: The Crimean War marks the demise of the Concert of Europe, the balance of power that had dominated Europe since the Congress of Vienna in 1815, and which had included France, Russia, Austria and the United Kingdom.","The Crimean War brought about the end of the Concert of Europe, the power balance that had dominated Europe since the Congress of Vienna in 1815, and which had included France, Russia, Austria, and the United Kingdom."
"excitement to admiration: The team recorded their 10,000th win in April, while establishing an early division lead.","The team reached their 10,000th win in April and gained an early lead in their division."
"confusion to disapproval: There is no consensus amongst theorists and historians on a definition of comics; some emphasize the combination of images and text, some sequentiality or other image relations, and others historical aspects such as mass reproduction or the use of recurring characters.","There is no consensus amongst theorists and historians on a definition of comics; some emphasize the combination of images and text, some sequentiality or other image relations, and others historical aspects such as mass reproduction or the use of recurring characters."
admiration to approval: It resulted from powerful preaching that gave listeners a sense of deep personal revelation of their need of salvation by Jesus Christ.,It resulted from powerful preaching that gave listeners a sense of deep personal revelation of their need of salvation by Jesus Christ.
"admiration to approval: Iraklis have also seen significant success in European competitions, having been three times runners-up of the CEV Champions League.","Iraklis have also seen significant success in European competitions, having been three times runners-up of the CEV Champions League."
"admiration to approval: According to the American Library Association, this makes it the largest academic library in the United States, and one of the largest in the world.",The American Library Association confirms that this library is the largest academic library in the US and one of the largest globally.
"admiration to approval: At this time, Greek cultural influence and power was at its peak in Europe, Africa and Asia, experiencing prosperity and progress in the arts, exploration, literature, theatre, architecture, music, mathematics, philosophy, and science.","At this time, Greek cultural influence and power was at its peak in Europe, Africa and Asia, experiencing prosperity and progress in the arts, exploration, literature, theatre, architecture, music, mathematics, philosophy, and science."
"gratitude to approval: Unlike most places, high oil and gasoline prices are beneficial for Houston's economy, as many of its residents are employed in the energy industry.","Unlike most places, high oil and gasoline prices are beneficial for Houston's economy, as many of its residents are employed in the energy industry."
"confusion to disapproval: The underlying linear model of policy-making of more knowledge we have, the better the political response will be is being doubted.","The underlying linear model of policy-making of more knowledge we have, the better the political response will be is being doubted."
"caring to nervousness: As the pace of development accelerates and populations continue to expand in Southeast Asia, concern has increased regarding the impact of human activity on the region's environment.","As the pace of development accelerates and populations continue to expand in Southeast Asia, concern has increased regarding the impact of human activity on the region's environment."
"approval to realization: The nations of the region, with only few exceptions, have become aware of the need to maintain forest cover not only to prevent soil erosion but to preserve the diversity of flora and fauna.","The nations of the region, with only few exceptions, have become aware of the need to maintain forest cover not only to prevent soil erosion but to preserve the diversity of flora and fauna."
"admiration to approval: The tour has received positive critical reception, but featured controversial subjects such as violence, firearms, human rights, nudity and politics.","The tour has received positive critical reception, but featured controversial subjects such as violence, firearms, human rights, nudity and politics."
"approval to realization: In the mid-19th century, Marxism was developed, and socialism in general gained increasing popular support, mostly from the urban working class.","The mid-19th century saw the emergence of Marxism and the increasing popularity of socialism, particularly among the urban working class."
"confusion to surprise: The sudden apparent ""outlawing"" of the 400-year-old Mass, the last typical edition of which being promulgated only a few years earlier in 1962 by Paul's predecessor, Pope John XXIII, was not always explained well.","The unexpected seeming prohibition of the 400-year-old Mass, which had been authorized by Pope John XXIII in 1962, was not always properly explained."
