input_text,target_text
"excitement to joy: Having had a big World Cup and plenty of athletics, Auntie will have been delighted with their long weekend’s work.","Having had a big World Cup and plenty of athletics, Auntie will have been delighted with their long weekend’s work."
"excitement to admiration: In the best piece of filmed action of the weekend, we were right there inside Lewis’ car as he spun off, stopped, then dragged himself straight back into the action.","In the best piece of filmed action of the weekend, we were right there inside Lewis’ car as he spun off, stopped, then dragged himself straight back into the action."
admiration to approval: I can already ski quite well.,I can already ski quite well.
sadness to disappointment: Tragic: The Stekske pupils were returning from a skiing holiday when the bus they were travelling on careered into the wall of a tunnel .,The Stekske pupils' return from a skiing trip turned into a disaster as their bus careened into the wall of a tunnel.
fear to sadness: More than three times as many Americans will die in gun homicides this year as died on 9/11 and more than 10 times as many will die of gun violence of one sort or another.,More than three times as many Americans will die in gun homicides this year as died on 9/11 and more than 10 times as many will die of gun violence of one sort or another.
"admiration to approval: And we saw in the well-trained first responders, effective mail screening facilities and impressively swift law enforcement pursuit of wrongdoers that the investment we have made in preparation has paid off.","And we saw in the well-trained first responders, effective mail screening facilities and impressively swift law enforcement pursuit of wrongdoers that the investment we have made in preparation has paid off."
admiration to fear: outlandish and brazen that it sounds like the plot line of a horror .,outlandish and brazen that it sounds like the plot line of a horror .
"gratitude to admiration: I never expect anything from the people I do good for, but I really appreciate it and that he appreciated what I'd done for him.""","I never expect anything from the people I do good for, but I really appreciate it and that he appreciated what I'd done for him."""
"gratitude to admiration: He didn't say hi or bye but he was an outstanding person, his attitude and everything, and how grateful he is since I found his money.""","He didn't say hi or bye but he was an outstanding person, his attitude and everything, and how grateful he is since I found his money."""
sadness to disappointment: problems were causing the Spanish royals.,problems were causing the Spanish royals.
joy to admiration: Koeman (second left) congratulates his players after they won 1-0 away at Hull on Saturday .,Koeman (second left) expressed his congratulations to his players for their 1-0 away triumph over Hull on Saturday.
approval to confusion: David Gauke said he is 'pleased' with how things were going despite the confusion .,David Gauke said he is 'pleased' with how things were going despite the confusion .
surprise to fear: are ‘going to get a horrible surprise’.,Are headed for a terrible shock.
"anger to sadness: Outraged: The attorney for the family of Miriam Carey who was killed by police on Capitol Hill six months ago says her autopsy found she was shot multiple times from behind, including a shot to the back of the head .","The family's lawyer for Miriam Carey, who was shot and killed by police on Capitol Hill six months ago, expressed outrage after her autopsy report showed that she had been shot multiple times from behind, including a shot to the back of her head."
"confusion to disapproval: Experts have questioned whether the coffin is real, because of its unusual markings.","Due to its uncommon markings, experts have expressed skepticism about the coffin's authenticity."
"sadness to disappointment: Now it stands ruined with the Mad Dog's illusion of power over the country shattered, like the windows in his once regal compound.","Now it stands ruined with the Mad Dog's illusion of power over the country shattered, like the windows in his once regal compound."
"annoyance to disappointment: I said I didn't have a gun, but it was so unfair, they wouldn't hear me out.",I was treated unfairly as they didn't believe me when I said I didn't have a gun and didn't allow me to explain.
joy to love: Loving: Coleen had been on holiday in Barbados .,Loving: Coleen had been on holiday in Barbados .
caring to desire: We shall cherish for ever the memories  we .,We shall cherish for ever the memories  we .
"love to sadness: much-loved daughter and sister, went to heaven at 2.50am this morning at .","At 2.50am this morning, the dearly loved daughter and sister passed away and went to heaven."
love to caring: love and support and for their messages of heartfelt condolence today.,"The messages of love, support, and heartfelt condolences received today have been a source of comfort."
admiration to approval: I got a good supporting cast around me.,I have a solid support system in place.
excitement to joy: Southampton saw off the challenge of West Ham United at St Mary's Stadium in an exciting affair.,West Ham United were defeated by Southampton in an exhilarating match at St Mary's Stadium.
confusion to embarrassment: She doesn't actually know how much weight she's lost over the last year-and-a-half because she previously was too embarrassed to get on a scale.,She doesn't actually know how much weight she's lost over the last year-and-a-half because she previously was too embarrassed to get on a scale.
"realization to disapproval: But I did not know it was going to end this way,"" said George Zulu, permanent secretary at the Zambian Ministry of Foreign Affairs.","The outcome was not what George Zulu, permanent secretary at the Zambian Ministry of Foreign Affairs, had anticipated."
excitement to admiration: Analysts hailed his election as an example of an African nation with a vibrant democracy.,Analysts hailed his election as an example of an African nation with a vibrant democracy.
"joy to love: But not too long after he took office, speculation swirled over his lack of visibility -- which especially stood out for a man who loves the spotlight.","But not too long after he took office, speculation swirled over his lack of visibility -- which especially stood out for a man who loves the spotlight."
admiration to desire: I’m trying to be the best father I can to my kids.,I’m trying to be the best father I can to my kids.
"sadness to disappointment: Her taste for sugary carbs such as pasta and cheese sandwiches made her weight problem worse and by the age of 19, her eating had spiralled out of control.","Her taste for sugary carbs such as pasta and cheese sandwiches made her weight problem worse and by the age of 19, her eating had spiralled out of control."
"disappointment to disapproval: But ""Mad Men"" misrepresents the advertising industry of my time by ignoring the dynamics of the Creative Revolution that changed the world of communications forever.","But ""Mad Men"" misrepresents the advertising industry of my time by ignoring the dynamics of the Creative Revolution that changed the world of communications forever."
"admiration to approval: The instant success of our trailblazing firm inspired a handful of other creative groups to form agencies and join our passionate revolution as we created advertising and imagery that caught people's eyes, penetrated their minds, warmed their hearts, and caused them to act -- raising the bar of mass communication throughout the world.","The immediate success of our pioneering firm encouraged several other imaginative groups to establish agencies and join our fervent movement, producing advertising and imagery that caught people's gaze, infiltrated their cognition, warmed their sentiments, and motivated them to act, raising the standard of global mass communication."
"admiration to approval: Since creating his first piece in 2009, Mr van't Riet has proved a huge success at art fairs and exhibitions .",Art fairs and exhibitions have been a fruitful avenue for Mr van't Riet's success since he produced his first piece in 2009.
sadness to disappointment: Their miserable start was compounded as rookie power forward Julius Randle crumbled to the hardwood after landing awkwardly on his right leg midway through the fourth quarter of the opening 108-90 loss to the Houston Rockets.,"The team's disappointing start was further complicated when Julius Randle, a rookie power forward, crumpled to the floor after an awkward landing on his right leg during the fourth quarter of their opening game, which they lost 108-90 to the Houston Rockets."
"excitement to gratitude: And now it will be possible to emulate the make-up of The Dowager Countess of Grantham, and even smell like Lord Grantham, thanks to a new line of Downton Abbey-themed beauty products being launched by Marks & Spencer to celebrate the fourth series, to be screened on ITV in October.","And now it will be possible to emulate the make-up of The Dowager Countess of Grantham, and even smell like Lord Grantham, thanks to a new line of Downton Abbey-themed beauty products being launched by Marks & Spencer to celebrate the fourth series, to be screened on ITV in October."
approval to realization: Microsoft still realized changes need to be made to make Windows 8 . easier to navigate and capable of taking full advantage of technology .,Microsoft still realized changes need to be made to make Windows 8 . easier to navigate and capable of taking full advantage of technology .
caring to nervousness: We should be concerned about media and popular takes on what Catholicism does look like.,The media and popular perception of Catholicism is something we should be worried about.
sadness to disappointment: Devastating bushfires have been burning out of control since it began on Friday at Sampson Flat on Adelaide's northeastern edge .,Devastating bushfires have been burning out of control since it began on Friday at Sampson Flat on Adelaide's northeastern edge .
"sadness to nervousness: Officials have expressed particular concern about the situation at Mount Ontake, a volcano that suddenly erupted last weekend, killing dozens of hikers.","The sudden eruption of Mount Ontake, which resulted in the deaths of many hikers, has caused officials to express significant concern about the situation."
"confusion to surprise: At times, I truly wonder if Mitt realizes we have Google and can look up his record on issues.","At times, I truly wonder if Mitt realizes we have Google and can look up his record on issues."
"fear to sadness: A footballer fractured his skull, nose and both eye sockets after he fell face first into a barrier at the side of a pitch during a horror tackle.","A footballer sustained injuries to his skull, nose, and both eye sockets when he fell into a barrier at the side of the pitch after a terrible tackle."
"disgust to fear: Mr Steggles, 53,  said: 'It's the worst thing I have ever seen.","""It's the most dreadful thing I've ever come across,"" shared Mr Steggles, aged 53."
"fear to nervousness: Nashef said his nephew had been arrested last summer and held for 37 days for ""spreading fliers about the revolution,"" and his family feared the worst after he was picked up again.","His nephew was arrested last summer and detained for 37 days for distributing flyers about the revolution, according to Nashef. His family was worried when he was arrested again."
"optimism to approval: Whatever we will do, we will plan long-term.","Our planning will always prioritize the long-term, regardless of the task at hand."
admiration to caring: Ominously for his rivals Federer believes such an approach has led to him playing some of the best tennis of his career.,Federer's rivals should be concerned as he thinks his approach has led to him playing some of the best tennis of his career.
"excitement to caring: I'm part of Al Qaida and on June 1st I'm gonna do something really big bye.""","On June 1st, I will perform a major act as a member of Al Qaida. Take care."
caring to annoyance: So please stop doing stupid stuff while traveling.,So please stop doing stupid stuff while traveling.
"annoyance to disapproval: You're making the rest of us polite, culture-seeking, nature-loving and happy-to-practice-our-Spanish (or French or Arabic) tourists look bad.","Your actions are reflecting poorly on the rest of us who are respectful, interested in culture, nature enthusiasts, and language learners."
"joy to disappointment: We must enjoy what happened, but if we lose the final, this semi-final will not be worth anything.","We must enjoy what happened, but if we lose the final, this semi-final will not be worth anything."
admiration to approval: There is perhaps amusement in some eyes but more a sense of occasion and formality - of proper regard for the camera lens and its great powers of documentation.,"While some eyes may find it amusing, the prevailing sentiment is one of formality and occasion, with proper respect for the camera lens and its ability to document."
"joy to caring: So we need to have compassion for Steve and the young lady and his wife and family -- and really embrace that and celebrate his life and learn from anything else.""","So we need to have compassion for Steve and the young lady and his wife and family -- and really embrace that and celebrate his life and learn from anything else."""
"admiration to caring: Bobby Wilson, president of the American Community Gardening Association, says all of that interest is great, but he worries that Americans aren't equipped to grow their own food without some help.","Bobby Wilson, the president of the American Community Gardening Association, is concerned that Americans may not be equipped to grow their own food without some form of assistance, despite the growing interest in gardening."
approval to caring: That way you'll learn as you go and won't get as frustrated.,That way you'll learn as you go and won't get as frustrated.
excitement to joy: Kumar Sangakkara celebrates after scoring a century for the fourth consecutive World Cup game .,"Celebrating his fourth consecutive World Cup century, Kumar Sangakkara expresses his joy."
surprise to fear: EU leaders were horrified that Mr . Papandreou said a referendum should be held to approve a 100billion euro .,EU leaders were horrified that Mr . Papandreou said a referendum should be held to approve a 100billion euro .
"admiration to approval: We are huge fans on the Fashion Finder desk of classic style, whether that's in the form of the little black dress, simple pointed courts or a pleated maxi dress like Pippa's, we think simple and sophisticated is often the best way to go, especially for posh dos such as this.","The Fashion Finder desk is a big fan of classic style, whether it's the little black dress, basic pointed shoes, or a pleated maxi dress similar to Pippa's. We believe that simple and elegant looks are often the most appropriate, particularly for upscale occasions like this."
"amusement to joy: Guests at the event were kept entertained by a magician, among them a sceptical-looking Pippa who was eventually won over by the performer's sleight of hand.","The event featured a magician who kept the guests entertained, including Pippa who appeared skeptical but was eventually impressed by the performer's sleight of hand."
"pride to admiration: Fiona Young, the CEO of Disability Sport UK, said: 'We're proud to have the support of Pippa Middleton for our worthwhile cause.","Our worthwhile cause has received the support of Pippa Middleton, which Disability Sport UK CEO Fiona Young says we are proud of."
"admiration to approval: Now, the country's stunning natural and cultural attractions are recapturing the attention of both foreign travelers and investors keen to capitalize on that interest.","Currently, the country's magnificent natural and cultural landmarks are recapturing the interest of international travelers and investors who are eager to capitalize on this trend."
"admiration to approval: Victoria Falls, the top tourist draw, has always brought visitors, even in the dark years.","Victoria Falls, the top tourist draw, has always brought visitors, even in the dark years."
approval to caring: It's best to avoid car trips at night.,It's best to avoid car trips at night.
"admiration to approval: If you want to go colonial, this is the place.","If you want to go colonial, this is the place."
"admiration to approval: More than a hundred years old, the views inside and out are classic, and worth a visit, even if for just a cocktail.","The classic views both inside and outside of the establishment, which has been around for over a hundred years, are definitely worth experiencing, even if it's just for a cocktail."
"sadness to annoyance: Talking to L’Equipe, scout Hillion said: ‘It’s a huge waste, because I’ve already said it and I’ll repeat it: he was the most talented one of his generation.","Talking to L’Equipe, scout Hillion said: ‘It’s a huge waste, because I’ve already said it and I’ll repeat it: he was the most talented one of his generation."
"approval to caring: There comes a time, when you accumulate failures, that there are problems at every club you go to, you have to ask yourself the right questions and question yourself.","There comes a time when you have to confront failures and problems at every club you join, and it is important to ask yourself the right questions and self-evaluate."
disgust to sadness: The other children would say really nasty things to me.,I was the target of hurtful comments from the other kids.
"sadness to embarrassment: Ashamed of her growing belly, from the age of ten, Jess began raiding stashes of food from her parents' kitchen and hiding it to later gorge on in secret.","Due to her embarrassment about her growing belly, Jess started taking food from her parents' kitchen and hiding it to later gorge on in secret from the age of ten."
"admiration to approval: If you can find somewhere to park your general misgivings about the big, bad federal government, you will find that it runs excellent web pages where you can find very reliable information about what ails you, as well as information about possible treatments.","If you can find somewhere to park your general misgivings about the big, bad federal government, you will find that it runs excellent web pages where you can find very reliable information about what ails you, as well as information about possible treatments."
sadness to remorse: I am sorry to say that I know quite a few people who agreed to undergo major surgery upon their doctor's recommendation without investigating their options.,I am sorry to say that I know quite a few people who agreed to undergo major surgery upon their doctor's recommendation without investigating their options.
approval to caring: He would never hurt anyone; never.,He would never hurt anyone; never.
"desire to disappointment: I wish we had some music going on in here right now.""",It's a shame that we don't have any music playing in here right now.
"sadness to disappointment: The new diagnosis upset him, Butler said.","The new diagnosis upset him, Butler said."
confusion to nervousness: I don’t know whether that is the case or not but I worry that it may be.,I don’t know whether that is the case or not but I worry that it may be.
"optimism to approval: However, I am determined to drive through the government’s commitments to improve the criminal justice system’s response to rape, to encourage more victims to seek help and to bring more perpetrators of these terrible crimes to justice and to push up level of convictions.","In spite of this, I am resolved to enforce the government's obligations to enhance the criminal justice system's reaction to rape, to motivate more victims to seek assistance, and to prosecute more offenders of these heinous offenses, thereby increasing the rate of convictions."
"surprise to fear: One in four women in some parts of the North of England smoke while they are pregnant, shocking new figures have revealed.","Recent data has shown that in certain areas of the North of England, 25% of pregnant women smoke, which is alarming."
"admiration to disapproval: For most people, sharks are magnificent creatures – but definitely the sort of beasts you would want to avoid coming into close contact with in a dark corner of the sea.","Although sharks are often considered magnificent creatures, they are certainly not the kind of beasts you would want to come face-to-face with in the dark corners of the ocean."
admiration to approval: the perfect picture of sharks feeding barely inches from his face.,"Sharks feeding in such close proximity to his face, captured perfectly."
fear to nervousness: But some experts fear that method might be too expensive.,"Despite this, a number of experts are anxious that the method might be too costly."
disappointment to disapproval: team did not feel that Hillcrest has made adequate progress.,team did not feel that Hillcrest has made adequate progress.
"joy to approval: An alcohol-free dinner out makes a feel-good treat, while a gym session is a great way to relieve stress.","Choosing to have an alcohol-free dinner out can be a satisfying experience, and engaging in a gym session can be an effective stress-buster."
"admiration to approval: Our protest is growing momentum.’ Sarah Wilson wrote on the Scrabble Facebook page: ‘It’s garish and cumbersome... there is nothing in it for me so it’s over between us.’ Kevin Mercury Winder added:  ‘When I was introduced to Scrabble, I thought it was totally amazing, you were able to play with people all over the world, actually chat whilst game in progress… it was virtually like taking out a real scrabble board and sitting down to a game with a friend.",Our cause is gaining momentum.
"admiration to surprise: Amazing find: More pots found in the royal tomb of the Mayan king, located to the west of Guatemala City .","The royal tomb of the Mayan king, located west of Guatemala City, has yielded more pots in an astonishing discovery."
"confusion to disappointment: No, I do not think I will ever be okay again”.","No, I do not think I will ever be okay again”."
fear to embarrassment: a terrible stain on the reputation of this United Nations.,A shameful smudge on the United Nations' reputation.
sadness to disappointment: Unhappy: The Prime Minister cited a report by Save the Children this week which highlighted the appalling impact of the civil war on Syria's young people .,Unhappy: The Prime Minister cited a report by Save the Children this week which highlighted the appalling impact of the civil war on Syria's young people .
"anger to annoyance: That is why people are so angry.""",This is the explanation for people's heightened frustration.
joy to admiration: Pedigree: Ajax manager Frank de Boer has enjoyed a phenomenal start to his managerial career in Holland .,"Ajax's manager, Frank de Boer, has had an outstanding start to his managerial career in the Netherlands."
caring to fear: NEVER look directly at the sun -- it is dangerous and can cause permanent damage to your eyes.,It is dangerous to look directly at the sun as it can cause lasting damage to your eyes.
excitement to joy: Supporters took to the street tonight in celebration of their new more moderate president Hasan Rowhani .,"In celebration of their new moderate president Hasan Rowhani, supporters marched through the streets tonight."
excitement to joy: Thousands of Iranian women took to the streets to celebrate Rowhani's victory today .,Thousands of Iranian women gathered on the streets today to celebrate Rowhani's success.
excitement to joy: Young supporters of Rowhani dancing in celebration of his win.,Young supporters of Rowhani express their joy by dancing after his win.
"joy to approval: We didn't invent the deworming initiative, but we are happy to get it out there and show people the importance of it.","We didn't originate the deworming initiative, but we're satisfied to disseminate its significance."
"caring to disapproval: That might help that particular kid's situation, but not Haiti as a whole.","It may be beneficial for that one child, but it won't solve the problems of Haiti as a whole."
caring to sadness: After a long hard day at work nothing is as comforting a resting place for our weary heads as the cushion of a bosom .,After a long hard day at work nothing is as comforting a resting place for our weary heads as the cushion of a bosom .
realization to fear: It's the moment every cook dreads: realising they have forgotten the most crucial ingredient.,The most crucial ingredient being forgotten is the moment that every cook fears.
amusement to joy: I promised ten but here is one more that cracked me up: If you let your lunch get cold so you could answer a query -- on your smartphone -- about signs you may have a problem with your devices.,"I had assured ten, but here's an extra one that made me smile: If you let your lunch get cold so you could respond to a query on your smartphone about indications that your gadgets may be defective."
annoyance to disapproval: The battery charge is a misdemeanor.,The battery charge is a small-scale violation.
"fear to sadness: Jessica Ridgeway's family today heard horrifying details of how their 10-year-old daughter had her hair cut off and was strangled, sexually assaulted and dismembered by a teenager.","Today, the family of Jessica Ridgeway was informed of the shocking details of how their 10-year-old daughter was sexually assaulted, strangled, dismembered, and had her hair cut off by a teenager."
sadness to remorse: Sigg plead guilty to raping and murdering 10-ear-old Jessica Ridgeway last year and may spend the rest of his life in prison .,Sigg acknowledged his guilt in the rape and murder of 10-year-old Jessica Ridgeway and could be imprisoned for life.
"surprise to fear: Horror: Police discovered Jessica's body in a field off of a highway on October 19, 2012.","Horror: Police discovered Jessica's body in a field off of a highway on October 19, 2012."
fear to nervousness: Investigators fear some or all of these women may have also been murdered by Alcala.,"Alcala is believed to have possibly killed some or all of these women, causing concern among investigators."
admiration to sadness: It was a case the brought a veteran New York City judge to tears.,It was a case the brought a veteran New York City judge to tears.
"fear to sadness: Horror: Upon sentencing him for his part in the deaths of two women in New York in the 1970s, a judge wept calling his crimes 'inexplicably brutal and horrific' Machine: Authorities described Alcala as one of history's most brutal and focused serial killers .","The judge shed tears as he handed down Alcala's sentence for his involvement in the deaths of two women in the 1970s, characterizing his crimes as inexplicably brutal and horrific."
"admiration to love: I love the fact that I'm 42 years old and lucky enough to get this chance, and the human body is remarkable.","I love the fact that I'm 42 years old and lucky enough to get this chance, and the human body is remarkable."
"disappointment to embarrassment: Just a bummer, real, real bummer.","A shame, a real shame."
admiration to love: He's too valuable of a horse and we love him to death like all .,He's too valuable of a horse and we love him to death like all .
disappointment to disapproval: Rejected: Former Lostprophets singer and convicted paedophile Ian Watkins has had his appeal bid against his sentence turned down .,"The appeal made by Ian Watkins, the former Lostprophets singer and convicted paedophile, against his sentence has been rejected."
nervousness to annoyance: disturbing reaction for anyone who has has anything to do with it.,disturbing reaction for anyone who has has anything to do with it.
approval to realization: accept these matters are very serious.,Realize that these topics are highly important.
disappointment to disapproval: Woman B also had her appeal bid turned down.,Woman B also had her appeal bid turned down.
joy to love: Love match: Andy and Kim after the ceremony at Dunblane Cathedral (left).,Love match: Andy and Kim after the ceremony at Dunblane Cathedral (left).
"joy to approval: She said: ‘I’ve definitely been pigeon-holed as pushy and overbearing but if you ask any of my friends or family, I’m all about having fun.","She acknowledged that she has been typecast as pushy and overbearing, but her close circle can vouch for her love for fun."
excitement to joy: Hundreds of well-wishers had gathered outside to catch a glimpse of the happy couple.,Hundreds of well-wishers had gathered outside to catch a glimpse of the happy couple.
"disappointment to disapproval: That is not to knock the spectacle, which is often breath-taking, but after all these years it still doesn’t seem quite right.","That is not to knock the spectacle, which is often breath-taking, but after all these years it still doesn’t seem quite right."
"joy to approval: Games like these will not be overly corporate occasions so take advantage of fair prices, adopt a minnow, paint faces and embrace the colour and diversity of the event.","Games like these will not be overly corporate occasions so take advantage of fair prices, adopt a minnow, paint faces and embrace the colour and diversity of the event."
sadness to annoyance: There is much consternation in New Zealand rugby circles about the imminent loss of a teenage prodigy known as ‘Tongan Thor’.,"The news of a teenage prodigy, fondly referred to as 'Tongan Thor', leaving has caused much consternation among rugby fans in New Zealand."
"joy to approval: Luckily, there’s been a High Street explosion of garments designed to fit and flatter the fuller figure.",It's fortunate that there has been a boom in clothing options on the High Street that are specifically tailored to enhance the beauty of fuller figures.
"admiration to approval: The FN, meanwhile, enjoyed spectacular electoral success at European and local elections in May, and are now widely viewed as the most popular party in France.","The FN, meanwhile, enjoyed spectacular electoral success at European and local elections in May, and are now widely viewed as the most popular party in France."
"admiration to approval: I'm a great snuggler, and excellent cook, and should it get that far ..."" added the would-be Lothario, who then went on to describe his other, um, physical attributes.","""I excel at snuggling and cooking,"" boasted the hopeful Lothario, before coyly alluding to his other, er, physical attributes."
"disgust to fear: On social media, however, many observers expressed horror at the idea of being trapped in a snowbound apartment with a frisky stranger.","On social media, however, many observers expressed horror at the idea of being trapped in a snowbound apartment with a frisky stranger."
fear to disappointment: Airlines said George Osborne's tax grab will be a major blow to British tourism in the Olympic year as the levy is also paid on all flights into the country.,Airlines said George Osborne's tax grab will be a major blow to British tourism in the Olympic year as the levy is also paid on all flights into the country.
optimism to approval: confidence in the euro over the past week or two.,The euro has seen a boost in confidence in recent weeks.
fear to sadness: As Wall Street suffered its worst day .,As Wall Street suffered its worst day .
optimism to desire: The opposition activists who celebrated in the streets after Mubarak stepped down had hoped that tangible changes would follow soon after their Tahrir Square victory.,The opposition activists who marked Mubarak's resignation with street celebrations had hoped for concrete changes to follow their Tahrir Square triumph.
"surprise to fear: In a more shocking development just weeks ago, a young reporter was sexually assaulted while covering a Friday rally in Tahrir Square.","A young reporter was sexually assaulted while covering a Friday rally in Tahrir Square, which was a more alarming event just weeks ago."
"sadness to disappointment: Toure, who is a Muslim, said: ‘When you hear something like that it’s very disappointing — I feel very sorry for the families.","As a Muslim, Toure conveyed his disappointment and empathy for the families affected by the situation."
"gratitude to confusion: thanks to a vague list of demands and disorganised leadership, will be .","Because of a vague catalogue of demands and disordered leadership, the conclusion will be unclear."
sadness to disappointment: with unemployment and a dismal economic forecast.,with unemployment and a dismal economic forecast.
"disappointment to disapproval: with college degrees left out in the cold, unable to find jobs.",The job market is not favorable for college-educated individuals.
caring to nervousness: I really worry what their lives are going to be .,I am apprehensive about what lies ahead for them.
joy to admiration: Good start: The Egyptian winger reels away after scoring his first goal for the Blues against Arsenal in March .,Good start: The Egyptian winger reels away after scoring his first goal for the Blues against Arsenal in March .
"joy to approval: Daddy dearest: Liv now enjoys a good relationship with her father, Aerosmith frontman Steve Tyler .","Liv's relationship with her father, Aerosmith's Steve Tyler, has improved and become fulfilling."
"admiration to approval: boobs – that look actually really suits me, because there’s some .","boobs – that look actually really suits me, because there’s some ."
"admiration to approval: It is one of the companies that has grown most in the country,"" Luis Tellez said.","It is one of the companies that has grown most in the country,"" Luis Tellez said."
admiration to approval: Democracy has come because of enormous effort and sacrifice.,Democracy has come because of enormous effort and sacrifice.
optimism to approval: Their answer revealed complete faith that democracy would bring the best outcome.,They showed complete conviction that democracy would lead to the most desirable outcome.
realization to disapproval: And it is certainly not easy to achieve in all its fullness.,And it is certainly not easy to achieve in all its fullness.
"excitement to admiration: So, let's pause briefly to experience a sense of awe for the system.",Let's briefly halt and experience a feeling of admiration for the system.
admiration to approval: In my view you best atone for what you have done by paying .,It is my belief that paying is the most suitable way to make restitution for your actions.
"annoyance to disapproval: The comments were hurtful, dismissive of indigenous Australians and incorrect, she said.","She claimed that the remarks were harmful, disrespectful towards indigenous Australians, and false."
